name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Why so Serious?,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/1wdoaja3ueHHvzobn2jE2n,2008-07-14,Hans Zimmer,german soundtrack,53,0.32,0.257,2,-18.484,1,0.0529,0.256,0.903,0.176,0.0282,95.983,554027,4
I'm Not a Hero,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/56pKYnSA0CyayMJWcEU5kH,2008-07-14,Hans Zimmer,german soundtrack,57,0.3,0.289,10,-17.109,1,0.0557,0.688,0.683,0.0772,0.0492,129.673,394440,4
Harvey Two-Face,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/0wTzJRNsUzSaon206xY6VZ,2008-07-14,Hans Zimmer,german soundtrack,43,0.127,0.114,4,-16.381,0,0.0368,0.862,0.789,0.105,0.0392,96.633,375960,4
Aggressive Expansion,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/5MpGuqnZhEl3I9Glhi9rSE,2008-07-14,Hans Zimmer,german soundtrack,47,0.323,0.134,2,-19.25,0,0.0364,0.492,0.797,0.145,0.0351,95.254,275400,4
Always a Catch,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/6dVNW1SQ2JFhjtXtauSbOX,2008-07-14,Hans Zimmer,german soundtrack,40,0.252,0.14,7,-19.274,1,0.0386,0.839,0.923,0.0874,0.0603,95.963,99493,3
Blood on My Hands,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/1eRBiMRmMEna7nfLmqyQCR,2008-07-14,Hans Zimmer,german soundtrack,40,0.0683,0.0144,6,-29.347,0,0.0446,0.913,0.96,0.101,0.0383,76.965,135933,4
A Little Push,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/3k2TzgUMOxWC6OkysQMlVp,2008-07-14,Hans Zimmer,german soundtrack,39,0.087,0.228,2,-19.94,1,0.0769,0.736,0.866,0.175,0.0311,86.521,162200,4
Like a Dog Chasing Cars,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/3j9WvPrVhZuH8AmTeVakfR,2008-07-14,Hans Zimmer,german soundtrack,57,0.507,0.488,8,-15.063,1,0.0449,0.192,0.76,0.111,0.0369,103.023,302533,4
I Am the Batman,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/3YtnlgctfkmLriMXvTEimH,2008-07-14,Hans Zimmer,german soundtrack,41,0.201,0.0885,1,-23.201,0,0.0323,0.493,0.827,0.107,0.0387,93.101,119333,3
And I Thought My Jokes Were Bad,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/3QRK9jOyP2qQ9ZaYdO3QCn,2008-07-14,Hans Zimmer,german soundtrack,45,0.524,0.492,2,-16.813,1,0.0397,0.476,0.708,0.118,0.0394,94.07,148333,4
Agent of Chaos,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/7IKuGWFY7ABiTPuJiwFXjD,2008-07-14,Hans Zimmer,german soundtrack,42,0.296,0.199,0,-19.913,0,0.0384,0.484,0.788,0.116,0.0406,80.341,415293,4
Introduce a Little Anarchy,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/2LfWRXYCr1jM3RkEDOY8Dj,2008-07-14,Hans Zimmer,german soundtrack,46,0.213,0.515,2,-13.76,1,0.06,0.368,0.883,0.078,0.0478,156.033,221973,4
Watch the World Burn,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/3d5zA0PkAGWhT8psCbEd1b,2008-07-14,Hans Zimmer,german soundtrack,41,0.0794,0.0897,5,-19.476,1,0.0402,0.436,0.558,0.0878,0.0371,83.339,227467,4
A Dark Knight,The Dark Knight (Original Motion Picture Soundtrack),https://open.spotify.com/track/5QFdOfeQlX8gp7ick31XRG,2008-07-14,Hans Zimmer,german soundtrack,57,0.277,0.182,2,-19.69,0,0.034,0.492,0.782,0.125,0.0357,96.008,975267,4
