name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"The Good, The Bad And The Ugly - 2004 Remaster","The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/1JSIWsJfxOji0FrxFcxdCK,1967,Ennio Morricone,classic soundtrack,61,0.304,0.657,0,-13.567,1,0.0824,0.787,0.954,0.113,0.102,120.338,162133,4
The Sundown - 2004 Remaster,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/5QnJqzHud1dXiz0nohQtbv,1967,Ennio Morricone,classic soundtrack,48,0.295,0.0847,4,-25.278,0,0.0297,0.979,0.962,0.114,0.279,47.056,75693,4
Sentenza,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/7LnCjHudaBcB7gprluL2jG,1967,Ennio Morricone,classic soundtrack,36,0.266,0.213,9,-15.952,1,0.0383,0.991,0.878,0.11,0.0323,99.451,101867,5
Fuga A Cavallo,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/1S1JlOrGDpkbVhWCsOjUIh,1967,Ennio Morricone,classic soundtrack,47,0.326,0.52,0,-10.204,1,0.0478,0.93,0.495,0.352,0.132,128.029,67067,4
Il Ponte Di Corde,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/1J8JRBcaJUPctNt6DM12iD,1967,Ennio Morricone,classic soundtrack,36,0.298,0.217,7,-15.66,1,0.0321,0.941,0.388,0.109,0.147,90.713,111933,4
The Strong - 2004 Remaster,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/69ai605TdgykOy3UTKuywI,1967,Ennio Morricone,classic soundtrack,36,0.0838,0.173,10,-21.15,1,0.0327,0.889,0.938,0.191,0.0627,82.653,142773,4
Inseguimento,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/711sUHL5feGZQ4HZai697P,1967,Ennio Morricone,classic soundtrack,40,0.375,0.335,0,-14.296,1,0.037,0.917,0.876,0.225,0.115,112.905,145067,4
The Desert - 2004 Remaster,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/5pLpGimrruc4qZSxHBScYz,1967,Ennio Morricone,classic soundtrack,33,0.0626,0.257,4,-17.379,0,0.0355,0.796,0.935,0.0915,0.0385,58.722,317133,4
The Carriage Of The Spirits - 2004 Remaster,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/7igDc2V0gCwBYV5rBUw1g7,1967,Ennio Morricone,classic soundtrack,33,0.0642,0.162,7,-19.152,0,0.0355,0.884,0.889,0.401,0.0509,70.104,129400,3
La Missione San Antonio,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",https://open.spotify.com/track/777Em4kHDduR6HgVTKdwpf,1967,Ennio Morricone,classic soundtrack,34,0.0725,0.0816,2,-22.271,1,0.0383,0.989,0.846,0.113,0.0485,63.161,135093,4
