name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mars,The Martian: Original Motion Picture Score,https://open.spotify.com/track/44CgM5My2vfkSv1KAQuEfk,2015-09-30,Harry Gregson-Williams,british soundtrack,42,0.197,0.0216,10,-28.927,1,0.0349,0.816,0.929,0.105,0.0298,106.059,145293,4
Emergency Launch,The Martian: Original Motion Picture Score,https://open.spotify.com/track/6aWo6n6Z3x8HHNPA9H84MS,2015-09-30,Harry Gregson-Williams,british soundtrack,33,0.237,0.295,1,-18.432,1,0.0385,0.417,0.752,0.0773,0.0337,95.955,189933,4
Making Water,The Martian: Original Motion Picture Score,https://open.spotify.com/track/0AeUTVVGVWgwPCpPGAm6sT,2015-09-30,Harry Gregson-Williams,british soundtrack,51,0.495,0.335,10,-18.848,1,0.0494,0.826,0.873,0.104,0.0384,115.952,158160,4
Spotting Movement,The Martian: Original Motion Picture Score,https://open.spotify.com/track/5Zbqq3lg2E6JAm2FSLSuhX,2015-09-30,Harry Gregson-Williams,british soundtrack,34,0.22,0.0499,1,-28.957,1,0.0393,0.788,0.95,0.0801,0.0361,129.566,109840,4
Science the S*** Out of This,The Martian: Original Motion Picture Score,https://open.spotify.com/track/58V78YtYJBR66qjbAyzWM9,2015-09-30,Harry Gregson-Williams,british soundtrack,38,0.437,0.228,6,-23.422,0,0.0333,0.943,0.921,0.113,0.0631,180.027,136867,4
Messages from Hermes,The Martian: Original Motion Picture Score,https://open.spotify.com/track/1tKo55V4uwgMZT2fBk87Zr,2015-09-30,Harry Gregson-Williams,british soundtrack,34,0.29,0.0542,5,-24.443,1,0.0344,0.931,0.951,0.168,0.0361,94.881,211253,4
Sprouting Potatoes,The Martian: Original Motion Picture Score,https://open.spotify.com/track/3a317lT5RBOHUf0gbuxfiL,2015-09-30,Harry Gregson-Williams,british soundtrack,36,0.138,0.0297,2,-28.713,1,0.0382,0.959,0.962,0.0941,0.0744,177.585,99253,4
Watney's Alive!,The Martian: Original Motion Picture Score,https://open.spotify.com/track/78eDrLYNhlsFMxxJ4gDRBR,2015-09-30,Harry Gregson-Williams,british soundtrack,32,0.291,0.14,2,-23.815,0,0.0353,0.734,0.908,0.0973,0.0382,106.897,166147,4
Pathfinder,The Martian: Original Motion Picture Score,https://open.spotify.com/track/6O6DluZ2C2RlO1uZkY8065,2015-09-30,Harry Gregson-Williams,british soundtrack,32,0.223,0.233,9,-20.546,1,0.04,0.54,0.884,0.118,0.0391,118.064,153413,4
Hexadecimals,The Martian: Original Motion Picture Score,https://open.spotify.com/track/0kyfCFs2yJwmDUZfGOIOSm,2015-09-30,Harry Gregson-Williams,british soundtrack,34,0.659,0.233,4,-20.831,0,0.041,0.958,0.941,0.153,0.327,120.034,153667,4
Crossing Mars,The Martian: Original Motion Picture Score,https://open.spotify.com/track/3JWjcGwtuNGXIVgJl3ax4c,2015-09-30,Harry Gregson-Williams,british soundtrack,47,0.0635,0.0733,0,-18.667,0,0.0429,0.837,0.971,0.109,0.0371,70.163,216587,3
Reap & Sow,The Martian: Original Motion Picture Score,https://open.spotify.com/track/4vEqhhcyGskAh6s1UC40vg,2015-09-30,Harry Gregson-Williams,british soundtrack,32,0.371,0.0635,0,-24.8,0,0.0385,0.6,0.87,0.11,0.0314,159.928,141253,4
Crops Are Dead,The Martian: Original Motion Picture Score,https://open.spotify.com/track/47P23kwVxjpn0kE1AQITyM,2015-09-30,Harry Gregson-Williams,british soundtrack,30,0.197,0.0331,6,-30.9,0,0.0419,0.892,0.916,0.105,0.0287,70.485,206107,4
Work The Problem,The Martian: Original Motion Picture Score,https://open.spotify.com/track/5Nn2cSBEPCo13K7TzMqZRS,2015-09-30,Harry Gregson-Williams,british soundtrack,32,0.407,0.145,1,-20.515,1,0.034,0.623,0.845,0.124,0.0647,131.794,117973,4
See You In A Few,The Martian: Original Motion Picture Score,https://open.spotify.com/track/6WUFWlJ5zbHUuwySkwpwy8,2015-09-30,Harry Gregson-Williams,british soundtrack,33,0.0787,0.0873,10,-20.529,1,0.0313,0.844,0.912,0.107,0.0347,78.521,311613,4
Build a Bomb,The Martian: Original Motion Picture Score,https://open.spotify.com/track/69yLgJd67FY9ILb3w7SuGP,2015-09-30,Harry Gregson-Williams,british soundtrack,29,0.198,0.155,1,-23.179,1,0.0411,0.584,0.906,0.104,0.0337,159.951,306413,4
Fly Like Iron Man,The Martian: Original Motion Picture Score,https://open.spotify.com/track/08aFb1Mn5v3neJbpXtcy6b,2015-09-30,Harry Gregson-Williams,british soundtrack,31,0.21,0.203,3,-17.668,1,0.0364,0.776,0.884,0.43,0.0292,128.918,285493,4
