name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Snare Liftoff - I Want to Be One of the Greats,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/4gCr9LKQ74aMTvNZpA2UpI,2014-10-07,J.K. Simmons,unknown,42,0.804,0.488,5,-10.824,0,0.0568,0.0242,0.57,0.208,0.0351,101.348,43733,5
"Overture - From ""Whiplash""",Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/2xYhSrp9lT1DeT3j9k7zoV,2014-10-07,Justin Hurwitz,hollywood,54,0.415,0.75,5,-8.812,0,0.128,0.121,0.284,0.136,0.652,136.073,199467,3
Too Hip To Retire,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/4pSJHktywKsadO7yPdFcpN,2014-10-07,Tim Simonec,unknown,50,0.625,0.402,5,-11.308,0,0.0393,0.325,0.729,0.154,0.69,154.884,184040,3
Whiplash,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/0v0oL77zDnGTdRwB2q6OIm,2014-10-07,Hank Levy,unknown,61,0.749,0.786,5,-3.841,1,0.05,0.406,0.342,0.291,0.862,107.329,115360,4
Fletcher's Song In Club,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/0ZFortLKtHTKy7YtuJiubt,2014-10-07,Justin Hurwitz,hollywood,54,0.872,0.3,7,-21.748,0,0.106,0.0503,0.97,0.111,0.584,97.979,89027,4
Caravan,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/2Xtsv7BUMrNodQWH2JPOc0,2014-10-07,John Wasson,unknown,63,0.425,0.783,8,-9.077,1,0.0808,0.00631,0.852,0.0745,0.422,106.281,555000,3
"What's Your Name - If You Want the Part, Earn It",Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/0qapsWg07oTQULTTwKn5eC,2014-10-07,J.K. Simmons,unknown,41,0.607,0.629,9,-14.564,1,0.503,0.0728,0.00597,0.896,0.123,135.388,90573,5
Practicing,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/1WB8sz0cSlyA9rkGG3UBBG,2014-10-07,Justin Hurwitz,hollywood,41,0.247,0.283,7,-16.74,1,0.0382,0.0267,0.917,0.237,0.0319,138.958,103293,4
Invited,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/7Kf1OlpD7yUV9rAkwP5nrF,2014-10-07,Justin Hurwitz,hollywood,38,0.398,0.277,0,-20.784,1,0.0475,0.562,0.343,0.347,0.485,84.347,54827,4
Call From Dad,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/6sgFyVPMyXomnPUmlOF3Di,2014-10-07,Justin Hurwitz,hollywood,37,0.217,0.0238,4,-22.011,1,0.0402,0.927,0.942,0.0964,0.0339,74.035,40227,4
Accident,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/6Foo4uB63EFWsmCpNDoBDB,2014-10-07,Justin Hurwitz,hollywood,39,0.22,0.396,6,-15.062,0,0.0499,0.0659,0.925,0.261,0.0279,129.359,322053,1
Hug From Dad,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/7nAR35jboGqHvI5bntx1Z4,2014-10-07,Justin Hurwitz,hollywood,39,0.37,0.000959,0,-33.147,1,0.0669,0.979,0.921,0.0896,0.033,62.758,74640,3
Drum & Drone,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/4TYOUPwSg6Pfn3VO10zQ9a,2014-10-07,Justin Hurwitz,hollywood,38,0.51,0.668,0,-12.354,1,0.0677,0.00103,0.804,0.131,0.27,110.782,94200,4
Carnegie,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/1g0m37R5E0WrsBc3iwn9Na,2014-10-07,Justin Hurwitz,hollywood,35,0.185,0.0595,3,-18.211,1,0.0386,0.659,0.962,0.102,0.0,82.248,36560,4
Ryan / Breakup,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/1KeIcldBAWFm5YQn4mArtH,2014-10-07,Justin Hurwitz,hollywood,35,0.788,0.13,1,-20.642,1,0.0934,0.791,0.888,0.122,0.0329,99.792,31213,4
Drum Battle,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/2PJPeGvQpyillyOKTObyR2,2014-10-07,Justin Hurwitz,hollywood,35,0.154,0.000576,7,-27.416,1,0.0493,0.982,0.904,0.0978,0.0327,75.291,130093,4
Dismissed,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/7FBb1JwTcuMfEsraqdchww,2014-10-07,Justin Hurwitz,hollywood,37,0.228,0.00295,7,-25.114,1,0.0411,0.974,0.986,0.072,0.0353,62.695,166813,4
Good Job - He Was a Beautiful Player,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/26PuzXLJIZpMvXQrruqPpr,2014-10-07,J.K. Simmons,unknown,36,0.599,0.457,6,-19.416,0,0.502,0.81,0.000476,0.227,0.336,115.904,88987,3
Intoit,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/0lXSrubZ5oMUkgiTQrbp4G,2014-10-07,Stan Getz,bebop,37,0.575,0.286,2,-11.22,0,0.0469,0.926,3.96e-06,0.303,0.596,76.259,201547,4
No Two Words,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/3O5PdZmVeOawb1ZBSrW6kL,2014-10-07,Justin Hurwitz,hollywood,38,0.348,0.413,8,-7.836,0,0.0351,0.754,0.0808,0.161,0.228,98.705,101373,4
When I Wake,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/3uutc2ohVQMnThNidsOCA7,2014-10-07,Justin Hurwitz,hollywood,42,0.59,0.209,2,-11.299,1,0.044,0.968,0.63,0.159,0.544,137.609,232200,4
Casey's Song,Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/2VIpupQNf1P9vP2jNJMWyE,2014-10-07,Justin Hurwitz,hollywood,41,0.4,0.169,5,-13.419,1,0.0333,0.729,0.0638,0.179,0.214,79.641,117307,4
Upswingin',Whiplash (Original Motion Picture Soundtrack),https://open.spotify.com/track/543JoN210vypgdhhJ2kEAq,2014-10-07,Tim Simonec,unknown,49,0.548,0.663,5,-4.817,0,0.0629,0.291,0.659,0.179,0.644,99.322,132440,4
