name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Another Day Of Sun,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/5kRBzRZmZTXVg8okC7SJFZ,2016-12-09,La La Land Cast,unknown,69,0.588,0.742,8,-6.757,1,0.0528,0.0162,3.98e-06,0.653,0.824,125.819,228173,4
Someone In The Crowd,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/39ncDMVidHOeQgeC5anYZM,2016-12-09,Emma Stone,hollywood,65,0.616,0.538,0,-9.165,0,0.17,0.0906,8.98e-06,0.192,0.278,127.948,259613,4
Mia & Sebastian’s Theme,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/1Vk4yRsz0iBzDiZEoFMQyv,2016-12-09,Justin Hurwitz,hollywood,74,0.476,0.192,9,-15.753,1,0.064,0.976,0.928,0.119,0.114,116.542,98040,3
A Lovely Night,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/4r9hiElqKWMPT4Z3vN2exq,2016-12-09,Ryan Gosling,hollywood,68,0.364,0.478,7,-8.645,1,0.0473,0.299,0.0015,0.124,0.493,134.551,236507,4
Herman’s Habit,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/4f6PUDRYJI51UrZy0jDAxD,2016-12-09,Justin Hurwitz,hollywood,60,0.588,0.593,8,-9.448,1,0.052,0.0634,0.889,0.214,0.668,123.678,111613,4
City Of Stars,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/5BMwpS4iYKR30kq9U9beaT,2016-12-09,Ryan Gosling,hollywood,68,0.585,0.0809,6,-19.346,0,0.0523,0.954,0.0233,0.0935,0.204,98.379,111240,4
Planetarium,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/70RecAVg5QudOXfJs64sM5,2016-12-09,Justin Hurwitz,hollywood,63,0.248,0.142,7,-15.443,1,0.0379,0.92,0.733,0.548,0.0439,128.841,257280,4
Summer Montage / Madeline,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/4S3DXtdTdgOIezKgu8DR0M,2016-12-09,Justin Hurwitz,hollywood,59,0.596,0.502,7,-6.783,1,0.0277,0.113,0.797,0.264,0.653,107.719,124640,4
"City Of Stars - From ""La La Land"" Soundtrack",La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/6XQHlsNu6so4PdglFkJQRJ,2016-12-09,Ryan Gosling,hollywood,70,0.492,0.116,2,-15.15,0,0.0379,0.899,1.93e-06,0.0889,0.434,111.787,149707,4
Start A Fire,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/7cyKrN1y4q59bc1gJX3QEG,2016-12-09,John Legend,neo soul,60,0.532,0.832,10,-6.047,0,0.0535,0.0652,0.0,0.766,0.314,101.989,192093,4
Engagement Party,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/2bonbKENtFAQQh8U4UEAu5,2016-12-09,Justin Hurwitz,hollywood,62,0.398,0.0662,3,-22.609,1,0.0401,0.991,0.909,0.113,0.326,80.364,87213,3
Audition (The Fools Who Dream),La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/6j0wBBAP3hMe4t1Ymj7GIe,2016-12-09,Emma Stone,hollywood,60,0.344,0.157,5,-11.773,1,0.0457,0.756,0.0,0.351,0.313,57.86,228267,4
Epilogue,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/762K1h8yVV5IgAVuEMpqfZ,2016-12-09,Justin Hurwitz,hollywood,63,0.408,0.27,7,-11.568,1,0.0438,0.661,0.829,0.516,0.14,127.15,459467,4
The End,La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/7gXjNlZlfP1GXRH1WvyuE2,2016-12-09,Justin Hurwitz,hollywood,57,0.176,0.0465,0,-14.545,1,0.0401,0.923,0.992,0.0493,0.216,89.818,46267,1
City Of Stars (Humming),La La Land (Original Motion Picture Soundtrack),https://open.spotify.com/track/3gbwtdRrtD05lz08DTxfFt,2016-12-09,Justin Hurwitz,hollywood,59,0.564,0.0136,4,-24.79,0,0.0349,0.975,0.0168,0.111,0.397,93.205,162973,4
