name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Godfather Pt. II: Main Title - The Immigrant,The Godfather Trilogy,https://open.spotify.com/track/0FgVJkt7zl2hB1boo7sxAH,2014-04-15,Nino Rota,classic soundtrack,18,0.0693,0.085,6,-19.92,0,0.0393,0.919,0.887,0.087,0.0374,61.44,170413,4
The Godfather Pt. II: A New Carpet,The Godfather Trilogy,https://open.spotify.com/track/0hpMxO4ubjZa1wLxbkeypf,2014-04-15,Nino Rota,classic soundtrack,12,0.223,0.272,10,-13.837,0,0.0403,0.826,0.915,0.29,0.0561,72.341,123040,4
The Godfather Pt. II: Kay,The Godfather Trilogy,https://open.spotify.com/track/1DUBTbrc9Eq9S1o7GMokTR,2014-04-15,Nino Rota,classic soundtrack,11,0.193,0.164,0,-15.52,1,0.035,0.874,0.967,0.0537,0.0385,74.572,165480,4
The Godfather Pt. II: Every Time I Look in Your Eyes - After the Party,The Godfather Trilogy,https://open.spotify.com/track/6GI1bm60ZVvhqrBIZFtnAd,2014-04-15,Nino Rota,classic soundtrack,11,0.179,0.212,1,-16.147,1,0.0359,0.923,0.854,0.121,0.121,109.463,158640,3
The Godfather Pt. II: Vita and Abbondando,The Godfather Trilogy,https://open.spotify.com/track/0RvejAVkgkitt7JpmEAKjS,2014-04-15,Nino Rota,classic soundtrack,10,0.148,0.0601,4,-25.238,0,0.0398,0.914,0.68,0.0951,0.0398,63.347,159453,4
The Godfather Pt. II: Senza Mama / Ciurì Ciurì / Napule Ve Salute,The Godfather Trilogy,https://open.spotify.com/track/13OSBllWyjqdFhvGqncIg2,2014-04-15,Nino Rota,classic soundtrack,13,0.332,0.265,2,-13.738,0,0.0379,0.934,0.943,0.208,0.575,119.829,157213,4
The Godfather Pt. II: The Godfather at Home,The Godfather Trilogy,https://open.spotify.com/track/2vYSc9uZqNrLbaUMcNwSai,2014-04-15,Nino Rota,classic soundtrack,10,0.176,0.159,5,-17.625,0,0.0336,0.981,0.842,0.144,0.0369,97.682,159093,3
The Godfather Pt. II: Remember Vito Andolini,The Godfather Trilogy,https://open.spotify.com/track/6WhVv1Q8KZ9ijHFtiIBPci,2014-04-15,Nino Rota,classic soundtrack,12,0.075,0.0419,11,-22.668,0,0.0432,0.911,0.543,0.0638,0.0428,79.994,174613,5
The Godfather Pt. II: Michael Comes Home,The Godfather Trilogy,https://open.spotify.com/track/2fpcjA2UO1T93nNErQqdvW,2014-04-15,Nino Rota,classic soundtrack,10,0.165,0.0468,5,-26.496,1,0.0434,0.977,0.909,0.103,0.0348,111.354,140667,4
The Godfather Pt. II: Marcia Stile Italiano,The Godfather Trilogy,https://open.spotify.com/track/5Pj7kDvmq5Fd5hjK7I3BKY,2014-04-15,Nino Rota,classic soundtrack,9,0.513,0.24,10,-14.639,1,0.0325,0.458,0.000892,0.105,0.34,108.916,115493,4
The Godfather Pt. II: Ninna Nanna a Michele,The Godfather Trilogy,https://open.spotify.com/track/2aff4E9wlFHqSF3Rr18TKw,2014-04-15,Nino Rota,classic soundtrack,11,0.163,0.0429,9,-21.483,0,0.0375,0.964,0.000959,0.116,0.0376,95.342,145320,5
The Godfather Pt. II: The Brothers Mourn,The Godfather Trilogy,https://open.spotify.com/track/1xbih07MfElsQUULIN30pu,2014-04-15,Nino Rota,classic soundtrack,13,0.123,0.0577,0,-22.953,1,0.0396,0.96,0.964,0.0899,0.0364,78.512,203680,3
The Godfather Pt. II: Murder of Don Fanucci - Marcia Religiosa,The Godfather Trilogy,https://open.spotify.com/track/7bWAmuymyIeRMDk4sb5MSF,2014-04-15,Nino Rota,classic soundtrack,13,0.323,0.152,0,-15.745,0,0.0337,0.974,0.827,0.129,0.066,120.356,264080,4
The Godfather Pt. II: Murder of Don Fanucci - Marcia Festa,The Godfather Trilogy,https://open.spotify.com/track/1XtFfwOpRsLxM6dPhncYb5,2014-04-15,Nino Rota,classic soundtrack,8,0.439,0.37,10,-12.041,1,0.0319,0.836,0.801,0.0912,0.726,126.032,100373,4
The Godfather Pt. II: The Godfather II - End Title,The Godfather Trilogy,https://open.spotify.com/track/2xQsDTWsdnwu9bkJE46LfW,2014-04-15,Nino Rota,classic soundtrack,14,0.078,0.131,9,-19.039,0,0.0441,0.928,0.941,0.0796,0.0321,81.737,253907,4
