name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Rags to Riches,GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/6TK8A5OtTwjm6g93zLd9HO,1990-09-18,Tony Bennett,adult standards,0,0.277,0.458,2,-9.131,1,0.0402,0.87,6.01e-06,0.0895,0.532,77.942,171507,4
Sincerely,GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/0a80x0s1pnRabaBIZgIZoT,1990-09-18,The Moonglows,doo-wop,0,0.493,0.0883,5,-16.332,0,0.0301,0.989,0.0192,0.118,0.426,81.529,188733,4
Speedo,GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/1K5fT8uG9rBWtKNQtKqXtz,1990-09-18,The Cadillacs,doo-wop,0,0.574,0.347,8,-12.381,1,0.0527,0.787,0.0,0.118,0.948,125.327,144133,4
Stardust,GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/3cJmNEdt84PaRwgqvEHTl1,1990-09-18,Billy Ward And His Dominoes,unknown,0,0.297,0.335,2,-14.086,1,0.034,0.747,0.0,0.122,0.244,75.777,194600,4
Look in My Eyes,GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/7pTwKyyagT34aHvTL28iei,1990-09-18,The Chantels,brill building pop,0,0.384,0.459,6,-10.724,1,0.0336,0.819,0.0,0.165,0.625,109.428,140467,3
Life Is but a Dream,GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/6CJnPLGcsyFErEoJb6gHFK,1990-09-18,The Harptones,doo-wop,0,0.248,0.267,5,-15.328,1,0.058,0.798,2.39e-06,0.105,0.327,175.747,163533,3
Remember (Walkin' in the Sand),GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/4nLXfOGueq3NLSZ8SmMFky,1990-09-18,The Shangri-Las,brill building pop,0,0.451,0.414,2,-11.755,0,0.0367,0.751,0.496,0.1,0.499,66.407,138333,4
"Baby, I Love You",GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/2TCo4C6lSZ1cdfviufI3tp,1990-09-18,Aretha Franklin,classic soul,0,0.674,0.408,0,-10.763,1,0.0306,0.443,4.38e-06,0.297,0.709,91.608,158733,4
Beyond the Sea,GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/1DVpNPKafVP3T9QbZ3pJan,1990-09-18,Bobby Darin,adult standards,0,0.528,0.395,2,-13.968,0,0.0466,0.633,0.0,0.0734,0.597,136.028,175360,4
Sunshine of Your Love,GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/4qn9kNnCvVmaKKfbNefQq3,1990-09-18,Cream,album rock,0,0.689,0.558,2,-11.146,1,0.037,0.108,0.000827,0.0947,0.781,115.141,253040,4
Mannish Boy,GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/5vhKxsDsCQH9kWURFwmQAj,1990-09-18,Muddy Waters,blues,0,0.631,0.574,2,-12.481,1,0.0586,0.0976,0.00058,0.421,0.629,112.759,324693,3
Layla (Piano Exit),GoodFellas - Music From The Motion Picture,https://open.spotify.com/track/6D9eBHRFy1eDaRb8stZJHo,1990-09-18,Derek & The Dominos,album rock,0,0.512,0.539,6,-12.423,1,0.029,0.605,0.952,0.121,0.612,115.647,233307,4
