name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"And Now Little Green Bag... - From ""Reservoir Dogs"" Soundtrack",Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/3VvNpPU8bxOuX0TS0nDy9y,2009-01-01,Steven Wright,clean comedy,0,0.723,0.0257,4,-29.113,1,0.477,0.642,0.0,0.36,0.0,78.876,16000,3
Little Green Bag,Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/5dmlMfZajWNbUskAg9CN3V,2009-01-01,George Baker Selection,nederpop,0,0.708,0.662,7,-12.385,1,0.0314,0.0371,0.000666,0.0745,0.874,103.476,195467,4
"Rock Flock Of Five - From ""Reservoir Dogs"" Soundtrack",Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/52sB67NHhcT1R7vFROoM4Y,2009-01-01,Steven Wright,clean comedy,0,0.0,0.149,8,-28.314,1,0.0,0.673,0.0,0.161,0.0,0.0,11173,0
Hooked On A Feeling,Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/5dJSrn1RKceOPDyb4DAe4w,2009-01-01,Blue Swede,classic swedish pop,0,0.536,0.691,8,-11.03,1,0.111,0.296,0.0,0.319,0.872,118.3,173760,4
"Bohemiath - From ""Reservoir Dogs"" Soundtrack",Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/7F5ce0ByLsO5jCPaOuWZHg,2009-01-01,Steven Wright,clean comedy,0,0.625,0.0631,6,-29.288,0,0.953,0.585,0.0,0.795,0.774,164.636,34307,3
I Gotcha,Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/0THCWeLz2PG4W5oIp2K3ee,2009-01-01,Joe Tex,northern soul,0,0.672,0.782,8,-9.973,1,0.45,0.137,2.08e-05,0.276,0.97,187.265,147600,4
Magic Carpet Ride,Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/3dAy4jvPtlFQvJmuJMYBdU,2009-01-01,Bedlam,unknown,37,0.387,0.887,9,-9.888,1,0.0553,0.0135,0.379,0.102,0.531,118.234,311000,4
"Madonna Speech - From ""Reservoir Dogs"" Soundtrack",Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/5Fyn9C7fxAU7aqFkBAPnUG,2009-01-01,Quentin Tarantino,unknown,32,0.629,0.166,10,-28.702,0,0.468,0.525,0.0,0.2,0.754,99.046,59067,3
Fool For Love,Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/4JKjJRpEtvXskF0YoKXWSF,2009-01-01,Sandy Rogers,unknown,0,0.557,0.377,9,-11.609,1,0.0373,0.359,1.78e-06,0.284,0.573,164.334,205293,4
"Super Sounds - From ""Reservoir Dogs"" Soundtrack",Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/4nJxjX97kD5tpFCTYGYSPh,2009-01-01,Steven Wright,clean comedy,0,0.663,0.0331,11,-29.689,1,0.928,0.815,0.0,0.348,0.85,73.331,18907,4
Stuck In The Middle With You,Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/1b7LMtXCXGc2EwOIplI35z,2009-01-01,Stealers Wheel,folk rock,67,0.795,0.564,7,-10.482,1,0.0392,0.0934,0.000531,0.0631,0.961,124.166,203893,4
Harvest Moon,Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/2eHuQmecUoD8uSDRAHhAcs,2009-01-01,Bedlam,unknown,35,0.537,0.404,2,-11.901,1,0.0292,0.379,2.8e-06,0.234,0.378,84.436,158107,4
"Let's Get A Taco - From ""Reservoir Dogs"" Soundtrack",Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/3KIwzp8UHoxQmQsPzZe4da,2009-01-01,Harvey Keitel,unknown,31,0.567,0.199,6,-28.902,1,0.786,0.873,0.0,0.167,0.654,87.811,62760,1
"Keep On Truckin' - From ""Reservoir Dogs"" Soundtrack",Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/0ZSCQP95QgjbnnWblcsvVJ,2009-01-01,Steven Wright,clean comedy,0,0.668,0.0503,4,-30.835,1,0.902,0.594,0.0,0.511,0.858,111.183,16667,4
Coconut,Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/2xw9KNGbpg1vMeHQql7eRO,2009-01-01,Harry Nilsson,classic rock,0,0.641,0.532,5,-13.642,1,0.0864,0.502,6.89e-06,0.126,0.869,138.007,230000,4
"Home Of Rock - From ""Reservoir Dogs"" Soundtrack",Reservoir Dogs (Original Motion Picture Soundtrack),https://open.spotify.com/track/07XY4Nw3dEtgzlwMjQ20UU,2009-01-01,Steven Wright,clean comedy,0,0.0,0.00842,5,-27.971,1,0.0,0.99,0.0,0.0,0.0,0.0,5173,0
