name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Summer Overture,Requiem for a Dream / OST,https://open.spotify.com/track/47aMbtetHwI7tLR9Z7iec7,2000-10-03,Clint Mansell,british soundtrack,45,0.43,0.232,5,-13.059,1,0.0399,0.93,0.872,0.122,0.0424,66.953,155267,4
Party,Requiem for a Dream / OST,https://open.spotify.com/track/1pjImmBg2w6AQZ9dVSJ91E,2000-10-03,Clint Mansell,british soundtrack,9,0.673,0.59,7,-12.965,1,0.212,0.00137,0.452,0.282,0.212,93.905,28800,4
Coney Island Dreaming,Requiem for a Dream / OST,https://open.spotify.com/track/0csfb2CwIirLvt3t9QEQ39,2000-10-03,Clint Mansell,british soundtrack,36,0.545,0.014,9,-28.429,0,0.044,0.995,0.615,0.09,0.12,165.956,64600,3
Party,Requiem for a Dream / OST,https://open.spotify.com/track/7t8InROm7brztBth5sEKiA,2000-10-03,Clint Mansell,british soundtrack,29,0.532,0.509,7,-14.408,1,0.0636,0.0775,0.964,0.202,0.291,94.048,36107,4
Chocolate Charms,Requiem for a Dream / OST,https://open.spotify.com/track/1k7Xbtoewummy3hbH440mn,2000-10-03,Clint Mansell,british soundtrack,1,0.393,0.00112,3,-34.921,1,0.0462,0.986,0.0,0.118,0.0,64.168,25533,4
Ghosts of Things to Come,Requiem for a Dream / OST,https://open.spotify.com/track/37eMGxazZ53ALWvBnF4DUm,2000-10-03,Clint Mansell,british soundtrack,40,0.181,0.0421,2,-27.172,1,0.0361,0.982,0.836,0.104,0.0612,84.294,93533,4
Dreams,Requiem for a Dream / OST,https://open.spotify.com/track/7sWN8c0L5RFJRce99fhsCG,2000-10-03,Clint Mansell,british soundtrack,30,0.443,0.00721,7,-30.679,1,0.0789,0.995,0.979,0.0789,0.134,175.431,44360,3
Tense,Requiem for a Dream / OST,https://open.spotify.com/track/7xC3NCyFZYf3UehIBi33Ck,2000-10-03,Clint Mansell,british soundtrack,27,0.366,0.0859,9,-26.506,0,0.0488,0.904,0.902,0.0952,0.137,139.866,37773,3
Dr. Pill,Requiem for a Dream / OST,https://open.spotify.com/track/2RKij644QIMhCwbJcC7zgp,2000-10-03,Clint Mansell,british soundtrack,26,0.714,0.0112,7,-29.984,1,0.395,0.00146,0.638,0.0656,0.168,175.989,42227,3
High on Life,Requiem for a Dream / OST,https://open.spotify.com/track/1r1jeoYVa4dg9DTaGvizuZ,2000-10-03,Clint Mansell,british soundtrack,0,0.0,0.65,10,-17.324,0,0.0,0.00875,0.742,0.107,0.0,0.0,11240,0
Ghosts,Requiem for a Dream / OST,https://open.spotify.com/track/1CFVMYmFaPCx3GVdLuCKXY,2000-10-03,Clint Mansell,british soundtrack,29,0.232,0.122,7,-15.69,1,0.0349,0.976,0.948,0.186,0.0915,87.791,81893,4
Crimin' & Dealin',Requiem for a Dream / OST,https://open.spotify.com/track/1URar88dyQpls8LTBV9YMO,2000-10-03,Clint Mansell,british soundtrack,27,0.703,0.557,1,-15.247,1,0.0754,0.00862,0.941,0.14,0.139,93.985,104867,4
Hope Overture,Requiem for a Dream / OST,https://open.spotify.com/track/0J4sNccRowctPpjjzsqNLu,2000-10-03,Clint Mansell,british soundtrack,31,0.647,0.204,7,-18.764,0,0.0319,0.842,0.889,0.0982,0.463,134.05,151200,4
Tense,Requiem for a Dream / OST,https://open.spotify.com/track/3RMUdJGSA7Zz8Hm4jQUPBE,2000-10-03,Clint Mansell,british soundtrack,1,0.272,0.0551,0,-30.58,1,0.0972,0.945,0.985,0.1,0.0334,104.967,28400,4
Bialy & Lox Conga,Requiem for a Dream / OST,https://open.spotify.com/track/5yv9GueFRmnF7RfaWtTAuA,2000-10-03,Clint Mansell,british soundtrack,24,0.511,0.32,6,-15.89,1,0.0454,0.736,0.509,0.267,0.893,132.194,45093,4
Cleaning Apartment,Requiem for a Dream / OST,https://open.spotify.com/track/3nHWJEJlL1wUvvsQG7UTat,2000-10-03,Clint Mansell,british soundtrack,37,0.434,0.285,3,-14.935,1,0.0333,0.921,0.833,0.168,0.0396,133.962,86067,4
Ghosts-Falling,Requiem for a Dream / OST,https://open.spotify.com/track/7vWqh2jf9plrPZMaGk6AlW,2000-10-03,Clint Mansell,british soundtrack,27,0.121,0.15,9,-15.136,1,0.0365,0.977,0.893,0.11,0.0884,175.736,71467,4
Dreams,Requiem for a Dream / OST,https://open.spotify.com/track/61M5aGIbLweLyfzdwiFbou,2000-10-03,Clint Mansell,british soundtrack,26,0.271,0.0152,0,-30.136,1,0.0573,0.995,0.953,0.0806,0.0343,175.725,62893,3
