name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Pumpkin And Honey Bunny,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/3O5FoANdopm0mOKSeII2xm,1994-09-27,Tim Roth,unknown,14,0.0,0.508,9,-12.862,1,0.0,0.929,0.0,0.856,0.0,0.0,13773,0
Misirlou,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/3538ZnMvpmpImrC6rFQgDr,1994-09-27,Dick Dale & His Del-Tones,surf music,0,0.294,0.853,4,-9.917,1,0.0447,0.0287,0.559,0.418,0.642,172.641,134027,4
Royale With Cheese,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/7tzgX2LHRfWmRlsbSN4pQR,1994-09-27,John Travolta,hollywood,39,0.565,0.737,10,-17.0,0,0.497,0.728,0.0,0.48,0.223,104.926,103467,3
Jungle Boogie,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/25lQDEclLoUa0dZD25VRXV,1994-09-27,Kool & The Gang,disco,42,0.774,0.862,0,-9.428,1,0.127,0.0815,4.21e-06,0.356,0.666,106.501,185733,4
Let's Stay Together,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/2LVa4BViaEHkftFhhQaocB,1994-09-27,Al Green,classic soul,0,0.76,0.295,2,-14.723,0,0.0714,0.534,0.0183,0.0805,0.585,101.379,195960,4
Bustin' Surfboards,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/48jm3rEZ2gR6mlBDb5aq8k,1994-09-27,The Tornadoes,surf music,0,0.553,0.871,9,-10.963,1,0.0952,0.207,0.766,0.322,0.631,135.728,147333,4
Lonesome Town,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/5roylzN2vdoWNNOSCc8HsI,1994-09-27,Ricky Nelson,adult standards,41,0.499,0.133,11,-15.333,1,0.0308,0.865,0.0308,0.102,0.281,77.943,133733,4
Son Of A Preacher Man,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/6W4o3QtXuiJGgw0fFwvLf3,1994-09-27,Dusty Springfield,adult standards,0,0.407,0.454,4,-12.328,1,0.108,0.482,0.0,0.0816,0.78,181.31,146507,4
Zed's Dead Baby,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/30LYhE1gG3wAdW3EL92VPn,1994-09-27,Maria De Medeiros,unknown,6,0.0,0.371,2,-17.341,1,0.0,0.804,0.0,0.898,0.0,0.0,12333,0
Bullwinkle - Pt. II,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/1nys6co0QuLuCifsJb3Xna,1994-09-27,The Centurians,surf music,0,0.407,0.526,6,-8.798,0,0.0334,0.891,0.556,0.0836,0.349,152.856,137707,4
Jack Rabbit Slims Twist Contest,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/1FaU01TqZoXyaaUtB04Ms1,1994-09-27,Jerome Patrick Hoban,unknown,39,0.466,0.699,9,-17.578,1,0.85,0.93,1.41e-06,0.88,0.0391,104.063,32253,4
You Never Can Tell,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/7p6ZGUXjUe0ctAu5RNnghu,1994-09-27,Chuck Berry,blues,51,0.581,0.687,7,-14.152,1,0.15,0.694,7.05e-05,0.305,0.892,157.291,161453,4
"Girl, You'll Be A Woman Soon",Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/56qx6OC90grYNnqIZ81Wh1,1994-09-27,Urge Overkill,alternative rock,0,0.515,0.565,5,-13.23,1,0.0419,0.0707,0.000347,0.186,0.56,114.142,190467,4
If Love Is A Red Dress (Hang Me In Rags) - Acoustic Demo Version,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/5b7H6zxDzyVyIt77HfcKs8,1994-09-27,Maria McKee,unknown,38,0.489,0.144,2,-13.481,1,0.0274,0.954,0.00051,0.138,0.123,92.031,295667,3
Bring Out The Gimp,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/5jGb3oqxlj1HXNAiet4HTK,1994-09-27,Peter Greene,unknown,13,0.0,0.491,0,-24.759,1,0.0,0.567,0.00184,0.407,0.0,0.0,8480,0
Comanche,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/5G00mcWfv8kUT6Q9SZfYAb,1994-09-27,The Revels,surf music,0,0.481,0.5,2,-12.459,0,0.0333,0.00826,0.867,0.135,0.629,97.405,123760,4
Flowers On The Wall,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/6FPcMtq0VnUvMg4XiAyOCu,1994-09-27,The Statler Brothers,country,40,0.701,0.56,6,-12.671,1,0.0549,0.668,1.62e-06,0.0364,0.953,97.667,143560,4
Personality Goes A Long Way,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/76axcSyMLGlkYxihRDTwG4,1994-09-27,John Travolta,hollywood,36,0.536,0.403,11,-24.121,1,0.943,0.853,0.0,0.679,0.328,173.416,61507,3
Surf Rider,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/1Z4hQeA43LFLcgrVGfQ7CC,1994-09-27,The Lively Ones,surf music,0,0.572,0.599,9,-12.005,1,0.0286,0.149,0.855,0.117,0.856,141.666,199973,4
Ezekiel 25:17,Pulp Fiction (Music From The Motion Picture),https://open.spotify.com/track/4T7xJH89A7HbsU7aTKR5fk,1994-09-27,Samuel L. Jackson,unknown,38,0.709,0.296,1,-18.745,1,0.915,0.896,0.0,0.537,0.523,127.646,54000,1
