name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"The Green Leaves of Summer - From ""Inglourious Basterds""",Music from Quentin Taratino Movies (Original Recordings),https://open.spotify.com/track/50oQKoR2p1x8Am8d2fetkW,2013-01-01,Nick Perito,unknown,37,0.0731,0.332,4,-7.499,0,0.0326,0.948,0.835,0.099,0.103,180.905,146051,3
"The Verdict (Dopo la condanna) (From ""Inglourious Basterds"")",Quentin Tarantino The Essential (The Complete Edition),https://open.spotify.com/track/3cNnmuGBLh8gKqMZLUEKXJ,2017-05-12,Ennio Morricone,classic soundtrack,33,0.347,0.459,4,-11.238,0,0.0366,0.919,0.942,0.101,0.112,85.154,73707,3
The Mountain,Secret of the Sahara (Original Motion Picture Soundtrack) [Remastered],https://open.spotify.com/track/1k2qu6IEkPxslHXNA8vP3O,2007,Ennio Morricone,classic soundtrack,24,0.137,0.196,7,-15.892,1,0.0387,0.926,0.971,0.0905,0.0361,100.213,616067,4
Il mercenario,Il Mercenario - The Mercenary - A Professional Gun (Original Motion Picture Soundtrack),https://open.spotify.com/track/359xxSLO4UMPY181mdMuJL,1968,Ennio Morricone,classic soundtrack,32,0.331,0.379,9,-10.675,0,0.0338,0.539,0.819,0.276,0.114,79.307,95760,1
Slaughter,Ultimate Collection: Billy Preston,https://open.spotify.com/track/5UM8o0YPE4o168xZ3l5Upp,2000-01-01,Billy Preston,funk,24,0.652,0.831,2,-6.771,1,0.0354,0.0155,7.79e-05,0.296,0.64,116.17,165533,4
Algeri: 1 Novembre 1954,La battaglia di Algeri (Original Motion Picture Soundtrack / Remastered 2021),https://open.spotify.com/track/09Hh8z3HJHqPvhxtt00Vu2,2021-01-22,Ennio Morricone,classic soundtrack,28,0.45,0.594,4,-15.071,1,0.0354,0.143,0.935,0.0512,0.688,123.156,144053,4
La resa,La resa dei conti - The Big Gundown [Bande originale du film de Sergio Sollima (1966)],https://open.spotify.com/track/6KU4EhcoP9KDbDSEhlA9Ht,1966,Ennio Morricone,classic soundtrack,11,0.249,0.334,4,-8.949,0,0.0296,0.676,0.0815,0.0878,0.0731,101.776,170880,4
"Un dollaro bucato, Suite No. 1",Un dollaro bucato (Original Motion Picture Soundtrack),https://open.spotify.com/track/5EIJuWdp7LvZEWlO3IfARF,1965,Gianni Ferrio,vintage italian soundtrack,22,0.245,0.169,7,-23.505,1,0.0391,0.84,0.833,0.386,0.0381,67.152,124640,5
"Davon geht die Welt nicht unter - From ""Inglourious Basterds""",Music from Quentin Taratino Movies (Original Recordings),https://open.spotify.com/track/0LCWAlIrWLEIETHMxJfPEZ,2013-01-01,Zarah Leander,vintage schlager,27,0.414,0.31,2,-9.808,1,0.0584,0.989,4.12e-06,0.392,0.494,177.695,125649,3
"Ich wollt, ich wär ein Huhn - From ""Inglourious Basterds""",Music from Quentin Taratino Movies (Original Recordings),https://open.spotify.com/track/7gVDcp7SioxFat0QRPtV3y,2013-01-01,Lilian Harvey,vintage schlager,23,0.792,0.533,0,-9.829,1,0.052,0.973,0.000116,0.164,0.883,134.647,168098,4
Cat People (Putting out Fire) - 2007 Remaster,The Best of David Bowie 1980 / 1987,https://open.spotify.com/track/2IC3YNfRaejGwoOJW73kTW,2007-03-19,David Bowie,art rock,0,0.734,0.528,10,-10.863,1,0.0456,0.0253,0.000333,0.0964,0.357,118.21,252467,4
Mystic and Severe,Death Rides a Horse - Da uomo a uomo (Original Motion Picture Soundtrack) [Remastered],https://open.spotify.com/track/6PVLmi72cJofH9z84Uy59m,1967-01-02,Ennio Morricone,classic soundtrack,31,0.542,0.491,2,-4.339,1,0.0294,0.486,0.931,0.0841,0.537,95.529,188253,4
The Devil's Rumble,Devil's Angels,https://open.spotify.com/track/3F37xwBMpBxOqxQ7MPqArq,1967-07-01,Davie Allan & The Arrows,deep surf music,23,0.373,0.673,2,-4.494,1,0.0308,5.67e-06,0.916,0.099,0.438,126.85,100013,4
Zulus,Zulu Dawn,https://open.spotify.com/track/7vsJgWPQoI7zTfDR3xtLIy,2015-08-28,Elmer Bernstein,classic soundtrack,19,0.194,0.48,2,-12.837,1,0.0401,0.0391,0.0214,0.375,0.294,88.673,151430,3
Un amico - Titoli,Revolver (Original Motion Picture Soundtrack),https://open.spotify.com/track/5PeKld8b0eXbXHVb2QBWyJ,1973,Ennio Morricone,classic soundtrack,11,0.313,0.606,7,-7.833,1,0.0307,0.0204,0.952,0.346,0.445,143.473,157600,4
Rabbia e Tarantella,Rabbia e Tarantella,https://open.spotify.com/track/6qIx7ismUkY3u0oNizWaTX,2016-02-26,Ennio Morricone,classic soundtrack,35,0.618,0.308,9,-14.819,1,0.0644,0.746,0.0391,0.0949,0.755,115.329,235240,4
Cat People (Putting Out Fire),A New Career in a New Town (1977 - 1982),https://open.spotify.com/track/5vLI1yIuny3x4OLZ38Rrn2,2017-09-29,David Bowie,art rock,55,0.696,0.681,0,-8.907,0,0.0415,0.083,0.000181,0.0763,0.361,118.116,401987,4
