name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Between The Bars,Good Will Hunting,https://open.spotify.com/track/4ykB0EzllEXm6xx2HaLSR2,1997-01-01,Elliott Smith,alternative rock,22,0.244,0.143,7,-18.41,0,0.0476,0.457,0.00695,0.197,0.167,136.886,69200,3
As The Rain,Good Will Hunting,https://open.spotify.com/track/2a1RVUvvqloq8ePmCdhONB,1997-01-01,Jeb Loy Nichols,unknown,19,0.562,0.527,9,-10.89,0,0.0519,0.55,0.4,0.229,0.838,169.979,291293,4
Angeles,Good Will Hunting,https://open.spotify.com/track/5J2W8qetcsH5O2Qs8XBWLr,1997-01-01,Elliott Smith,alternative rock,26,0.549,0.152,4,-19.759,0,0.0555,0.84,0.225,0.136,0.598,118.234,175507,4
No Name #3,Good Will Hunting,https://open.spotify.com/track/67k1ZGMHC4ZHSlg6GQfMWT,1997-01-01,Elliott Smith,alternative rock,23,0.593,0.252,9,-14.831,0,0.031,0.339,0.00459,0.146,0.265,79.552,190293,4
Fisherman's Blues,Good Will Hunting,https://open.spotify.com/track/2suU6cT9vlT5DFGLaJaon1,1997-01-01,The Waterboys,celtic rock,23,0.395,0.787,9,-7.621,0,0.0658,0.0407,2.22e-06,0.0676,0.636,138.161,259267,4
Why Do I Lie? - Remix,Good Will Hunting,https://open.spotify.com/track/5Nla94MuEuHEhQvmgzQs2g,1997-01-01,Luscious Jackson,alternative pop,19,0.575,0.651,6,-10.924,0,0.0466,0.00319,0.0,0.139,0.611,81.298,207467,4
Will Hunting - Instrumental,Good Will Hunting,https://open.spotify.com/track/1RKrYDG8ZGK4t8s5DdO4zX,1997-01-01,Danny Elfman,orchestral soundtrack,22,0.212,0.314,4,-16.073,1,0.03,0.836,0.945,0.105,0.155,104.8,161373,4
Between The Bars,Good Will Hunting,https://open.spotify.com/track/3eLY8xMeyeJqlUG2UPcdEw,1997-01-01,Elliott Smith,alternative rock,23,0.537,0.0959,7,-21.844,0,0.0586,0.929,0.856,0.114,0.36,135.304,141400,3
Say Yes,Good Will Hunting,https://open.spotify.com/track/18TMc6shYUU4kcjTMssmTh,1997-01-01,Elliott Smith,alternative rock,23,0.582,0.111,0,-17.909,1,0.0401,0.875,0.000112,0.0851,0.422,76.507,135200,4
Baker Street - Edit,Good Will Hunting,https://open.spotify.com/track/2asuRQrpaa88MbHvUeDyyz,1997-01-01,Gerry Rafferty,art rock,0,0.514,0.535,8,-8.236,1,0.0373,0.0726,9.06e-05,0.129,0.491,120.522,248333,4
Somebody's Baby,Good Will Hunting,https://open.spotify.com/track/4aWGYG5PZCFcE2BQGBpx9w,1997-01-01,Andru Donalds,reggae fusion,15,0.639,0.89,2,-6.357,1,0.0414,0.00586,4.42e-06,0.331,0.971,141.911,190467,4
Boys Better,Good Will Hunting,https://open.spotify.com/track/1dHCZD3bmjyz4DY80Pi3Wo,1997-01-01,The Dandy Warhols,alternative rock,0,0.339,0.804,9,-7.93,1,0.0491,0.00283,0.0122,0.17,0.195,119.268,272427,4
How Can You Mend A Broken Heart,Good Will Hunting,https://open.spotify.com/track/6WSvNQtN6B3MfCvPfUDzWM,1997-01-01,Al Green,classic soul,23,0.487,0.347,4,-10.431,1,0.0439,0.273,3.54e-06,0.128,0.379,146.167,378307,3
Miss Misery,Good Will Hunting,https://open.spotify.com/track/4JBXUmExK3GS7X4RuUKCyt,1997-01-01,Elliott Smith,alternative rock,31,0.563,0.389,5,-13.172,1,0.03,0.451,0.0018,0.101,0.423,125.516,192293,3
Weepy Donuts,Good Will Hunting,https://open.spotify.com/track/5r3WuGign5rbwElvahdyoq,1997-01-01,Danny Elfman,orchestral soundtrack,19,0.205,0.0941,11,-19.728,1,0.0411,0.957,0.856,0.117,0.0382,112.332,228933,4
