name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
A Kaleidoscope Of Mathematics,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/2MK1w1IP4XRVML4ytPb6qC,2001-12-11,James Horner,orchestral soundtrack,46,0.147,0.0813,1,-20.968,0,0.0397,0.924,0.916,0.0906,0.0347,139.542,294680,4
"Playing A Game Of ""Go!""",A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/4pmN8IO2GlJDJ33PpTgw3k,2001-12-11,James Horner,orchestral soundtrack,37,0.0635,0.0262,2,-28.838,0,0.0448,0.976,0.746,0.0721,0.0338,66.822,213867,4
Looking For The Next Great Idea,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/0IjiRVinWhJg0shdzwgACu,2001-12-11,James Horner,orchestral soundtrack,37,0.0599,0.0256,2,-29.599,1,0.0514,0.971,0.704,0.0945,0.0369,63.569,182733,5
"Creating ""Governing Dynamics""",A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/5xdboRPyeEy3YxfLqagJVN,2001-12-11,James Horner,orchestral soundtrack,39,0.175,0.0996,0,-22.114,1,0.0439,0.962,0.972,0.0911,0.0395,118.107,153093,4
Cracking The Russian Codes,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/6m1Q90YxCON6J8Ymfsiscl,2001-12-11,James Horner,orchestral soundtrack,32,0.0736,0.0816,2,-23.931,0,0.0445,0.959,0.779,0.161,0.0344,180.897,201013,3
Nash Descends Into Parcher's World,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/26Nl12SxdGWpHeX3acVTMX,2001-12-11,James Horner,orchestral soundtrack,31,0.143,0.0512,10,-32.791,0,0.0393,0.823,0.933,0.109,0.0345,69.272,278027,3
"First Drop-Off, First Kiss",A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/6CDoc746O0UYVEdbJM5A3P,2001-12-11,James Horner,orchestral soundtrack,31,0.204,0.0805,2,-25.439,1,0.0407,0.956,0.924,0.123,0.0339,57.573,315573,4
The Car Chase,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/1JTOFT49KYVF7PVX26aNVe,2001-12-11,James Horner,orchestral soundtrack,37,0.173,0.071,10,-20.682,0,0.0371,0.845,0.895,0.123,0.0355,87.342,144640,1
Alicia Discovers Nash's Dark World,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/2oBTIBF3ksyZvgUlcHMPBk,2001-12-11,James Horner,orchestral soundtrack,28,0.171,0.0663,1,-26.992,1,0.0454,0.906,0.932,0.0786,0.0279,114.503,509187,4
Real Or Imagined?,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/6sbTZL63mZIxcWSV8xNHJI,2001-12-11,James Horner,orchestral soundtrack,28,0.15,0.05,2,-27.032,1,0.0431,0.855,0.896,0.0626,0.0331,104.785,345320,4
"Of One Heart, Of One Mind",A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/2BJ90vhf1bkxa8z5ajvehq,2001-12-11,James Horner,orchestral soundtrack,31,0.15,0.0123,4,-32.846,1,0.0419,0.96,0.841,0.088,0.0363,85.424,380347,3
Saying Goodbye To Those You So Love,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/1suJ1sOcCUkHeQcieeEbFC,2001-12-11,James Horner,orchestral soundtrack,29,0.127,0.0353,3,-28.651,1,0.0391,0.9,0.942,0.0905,0.0321,82.148,403520,4
Teaching Mathematics Again,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/1PDQ8QQ7bFbMBWqf5WnWvF,2001-12-11,James Horner,orchestral soundtrack,32,0.17,0.0311,11,-29.258,1,0.0452,0.966,0.835,0.0912,0.0341,126.672,196267,4
The Prize Of One's Life... The Prize Of One's Mind,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/3hvgHZ49z6bQshk9ywHPqy,2001-12-11,James Horner,orchestral soundtrack,30,0.142,0.0126,7,-29.425,1,0.0451,0.982,0.946,0.0936,0.0323,76.159,182813,4
All Love Can Be,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/4i5n7UL5CUduENczxXZ9yY,2001-12-11,Charlotte Church,operatic pop,39,0.191,0.0485,6,-22.198,0,0.0409,0.98,0.0658,0.0855,0.0707,72.375,197853,4
Closing Credits,A Beautiful Mind (Original Motion Picture Soundtrack),https://open.spotify.com/track/49kluadjIlTT5Q81clPCmm,2001-12-11,James Horner,orchestral soundtrack,32,0.126,0.0475,2,-25.544,0,0.0368,0.967,0.917,0.104,0.0301,65.007,268453,4
