name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"L'Ultima Diligenza di Red Rock - From ""The Hateful Eight"" Soundtrack / Versione Integrale",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/2cI1OrvqZSGVfkf3PPybWF,2015-12-18,Ennio Morricone,classic soundtrack,32,0.281,0.344,10,-10.037,0,0.0341,0.456,0.941,0.111,0.0483,94.251,450827,4
"Overture - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/1UBveijBRq8yxDwGNgXbnK,2015-12-18,Ennio Morricone,classic soundtrack,26,0.274,0.163,1,-17.894,1,0.0322,0.374,0.659,0.111,0.0313,87.264,191176,4
"""Major Warren Meet Daisy Domergue"" - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/7pM7Q3gZiNfxSWP1rDbFol,2015-12-18,Jennifer Jason Leigh,unknown,36,0.723,0.224,8,-23.781,0,0.95,0.681,0.0,0.452,0.607,129.23,32974,1
"Narratore Letterario - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/5Jxk0ULtHr8zP8ZncDemaa,2015-12-18,Ennio Morricone,classic soundtrack,22,0.377,0.303,7,-15.248,1,0.0307,0.823,0.918,0.0923,0.0389,95.83,119164,4
"Apple Blossom - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/4pT2Ag4Xcf8dGDKouIa9JR,2015-12-18,The White Stripes,alternative rock,29,0.496,0.42,9,-9.043,1,0.0589,0.409,0.000367,0.095,0.684,126.339,133146,4
"""Frontier Justice"" - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/6C6FIaHxHEFvH4CYUlDLFB,2015-12-18,Tim Roth,unknown,18,0.631,0.341,1,-24.515,0,0.804,0.589,0.0,0.451,0.172,94.718,110342,3
"L'Ultima Diligenza di Red Rock - From ""The Hateful Eight"" Soundtrack / #2",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/0pqWRygBnYikY6BooSqGlN,2015-12-18,Ennio Morricone,classic soundtrack,20,0.41,0.606,0,-8.4,1,0.031,0.422,0.914,0.195,0.119,96.095,157235,4
"Neve - From ""The Hateful Eight"" Soundtrack / Versione Integrale",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/6fGFETkJMbFiPRHKhkUdMY,2015-12-18,Ennio Morricone,classic soundtrack,20,0.114,0.174,7,-17.48,1,0.0397,0.052,0.931,0.111,0.0305,84.937,736832,4
"""This Here Is Daisy Domergue"" - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/33C9ockizOhv30eUvkjYU5,2015-12-18,Kurt Russell,unknown,16,0.628,0.204,1,-22.716,1,0.541,0.606,0.0,0.436,0.271,86.718,61504,4
"Sei Cavalli - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/1slPg5ccziVkQ0hZyUBYdb,2015-12-18,Ennio Morricone,classic soundtrack,17,0.191,0.465,7,-9.134,1,0.0354,0.877,0.812,0.0941,0.0391,143.39,81960,4
"Raggi di Sole Sulla Montagna - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/0KOMKIQVNilcrzkmhe0rRH,2015-12-18,Ennio Morricone,classic soundtrack,17,0.186,0.202,7,-15.413,0,0.036,0.983,0.92,0.077,0.0615,70.933,101693,3
"""Son Of The Bloody Nigger Killer Of Baton Rouge"" - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/4MVkXV3Htdfm6BVgfXu47v,2015-12-18,Samuel L. Jackson,unknown,13,0.709,0.245,5,-20.69,1,0.907,0.883,0.0,0.158,0.287,111.134,163097,4
"Jim Jones At Botany Bay - From ""The Hateful Eight"" Soundtrack",Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),https://open.spotify.com/track/6BRWAgBR1KDMC0tiGyeTDK,2015-12-18,Jennifer Jason Leigh,unknown,32,0.59,0.0622,8,-23.146,0,0.121,0.917,0.0459,0.0957,0.529,73.593,250827,4
