name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Blue Morgan (Opening Titles),Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/5fn8pl2SmSD45eBGMnqys5,2004-03-01,Clint Eastwood,unknown,25,0.543,0.0621,5,-23.424,1,0.107,0.879,0.507,0.124,0.512,121.274,40827,4
It's Nice Viewing,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/0bevDauinfXX94pNlzRCyx,2004-03-01,Clint Eastwood,unknown,46,0.278,0.00641,0,-26.602,1,0.044,0.888,0.619,0.0946,0.0856,120.22,57173,4
Boxing Baby,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/3RAk5YfIqMQgDazRwdXu04,2004-03-01,Clint Eastwood,unknown,13,0.614,0.498,7,-10.979,0,0.0347,0.0278,0.367,0.115,0.66,133.599,145600,4
Boxing Montage,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/1fH0x2qT5A1vaXfCXkYJHx,2004-03-01,Clint Eastwood,unknown,17,0.47,0.123,0,-15.588,1,0.0363,0.85,0.715,0.11,0.372,139.406,164093,1
Pick Up Money,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/5R2kmdUiYsH46tH9rcGnwS,2004-03-01,Clint Eastwood,unknown,37,0.377,0.00731,2,-27.601,0,0.0322,0.926,0.859,0.0817,0.175,80.031,57933,5
Nice Working With You,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/50tLqaBvB2EPTK6uPGOZyt,2004-03-01,Clint Eastwood,unknown,17,0.135,0.0859,0,-19.977,1,0.0434,0.0754,0.598,0.165,0.196,174.298,97600,1
The Letters,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/1npRL9rE0mvQBAbWSxoa5E,2004-03-01,Clint Eastwood,unknown,14,0.475,0.0398,2,-14.801,0,0.123,0.845,0.0443,0.0856,0.736,103.334,80507,5
Blue Diner,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/6RvgPqS8u7HTKOCeK9Ao7C,2004-03-01,Clint Eastwood,unknown,13,0.411,0.254,7,-15.131,0,0.0517,0.706,0.15,0.117,0.394,69.042,215667,4
Deep In Thought,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/6TTGKAk7Yn4KcztMLdRiyH,2004-03-01,Clint Eastwood,unknown,34,0.249,0.0611,5,-21.794,1,0.0386,0.639,0.425,0.0913,0.102,115.442,113893,5
Driving,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/5Tmq5AeJWdeZyj1c1bBkYm,2004-03-01,Clint Eastwood,unknown,14,0.35,0.0667,2,-20.271,0,0.0727,0.892,0.597,0.115,0.305,85.005,98867,3
Blue Bear,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/79BQQijMSgKwvcjxZgVjoY,2004-03-01,Clint Eastwood,unknown,9,0.143,0.00916,0,-27.974,1,0.0459,0.732,0.487,0.112,0.202,75.919,43867,4
Frankie Horrified,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/4WaO6dZlU61n58vbtI05kq,2004-03-01,Clint Eastwood,unknown,11,0.0873,0.115,3,-21.391,0,0.039,0.353,0.403,0.332,0.0788,84.385,67907,4
They're Amateurs,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/4ATEiRiOFfgYhaf6M4GHNY,2004-03-01,Clint Eastwood,unknown,40,0.0927,0.102,7,-23.081,1,0.0378,0.0898,0.914,0.112,0.0382,81.327,76733,3
May Have To Lose It,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/3LC2xSjwYfL8UyDoowgxah,2004-03-01,Clint Eastwood,unknown,26,0.143,0.145,0,-21.596,1,0.0408,0.94,0.919,0.109,0.0692,76.713,68693,3
Maggie's Plea,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/7fRFZkHvBnd00WIKmapIdc,2004-03-01,Clint Eastwood,unknown,11,0.189,0.119,1,-22.163,1,0.0472,0.503,0.483,0.134,0.0383,61.488,176000,4
Frankie's Dilemma,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/2Q64IzXaa9LPH1WDMit4kJ,2004-03-01,Clint Eastwood,unknown,19,0.201,0.159,1,-19.423,1,0.0436,0.864,0.934,0.114,0.0624,82.916,69267,3
Frankie's Decision,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/5vHVZqAxZgo3PalzVMg3o0,2004-03-01,Clint Eastwood,unknown,18,0.138,0.114,0,-23.134,1,0.0362,0.94,0.925,0.107,0.105,142.823,69800,3
Lethal Dose,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/3onlwySF9NeriNccM11qiN,2004-03-01,Clint Eastwood,unknown,12,0.0789,0.0393,1,-27.309,1,0.0441,0.0431,0.532,0.0885,0.0342,64.427,117107,5
Frankie's Office,Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/116mTqP7lROeuuqXgnoN1W,2004-03-01,Clint Eastwood,unknown,19,0.572,0.00349,0,-30.568,1,0.0982,0.97,0.344,0.117,0.192,37.257,65200,4
"Blue Morgan (End Credits) - From ""Million Dollar Baby""",Million Dollar Baby (Original Motion Picture Soundtrack),https://open.spotify.com/track/3UmecfPN3C7fxhd8LTGFRk,2004-03-01,Clint Eastwood,unknown,33,0.247,0.0284,0,-25.125,1,0.0484,0.904,0.8,0.0905,0.101,71.855,269093,4
