name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Trutalk,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/3AHW1jqr6s96iHedSdSumc,2009,Burkhard Dallwitz,german soundtrack,24,0.476,0.266,0,-19.127,1,0.183,0.94,0.0145,0.677,0.354,105.621,79893,3
It's a Life,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/1jfgh0b0yhGnV7waUZWIIN,2009,Burkhard Dallwitz,german soundtrack,39,0.422,0.165,4,-21.708,1,0.034,0.924,0.965,0.475,0.141,119.887,89733,4
Aquaphobia,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/69bq2cKv2Ms0gSYEiX2Tnb,2009,Burkhard Dallwitz,german soundtrack,23,0.236,0.000455,0,-40.966,1,0.0497,0.818,0.916,0.0665,0.0346,85.042,39507,4
Dreaming of Fiji,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/3lPGx5rQVWSnCPtf8QBmsn,2009,Philip Glass,american contemporary classical,47,0.154,0.0395,7,-29.747,0,0.0408,0.975,0.977,0.105,0.0379,95.923,114827,4
Flashback,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/00Io22bv1TDqUzZkRb8NW3,2009,Burkhard Dallwitz,german soundtrack,30,0.134,0.00794,0,-28.346,1,0.0491,0.84,0.917,0.111,0.0375,89.522,80867,4
Anthem - Part 2 (from Powaqqatsi),The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/6rGA5GfUNDzFCpA4zqA39C,2009,Philip Glass,american contemporary classical,31,0.461,0.121,2,-20.147,1,0.0303,0.0296,0.457,0.18,0.0474,100.118,231907,3
The Beginning (from Anima Mundi),The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/3d0BP9OpMjRCwhHCLUuJOV,2009,Philip Glass,american contemporary classical,22,0.687,0.458,3,-20.789,0,0.0463,0.395,0.831,0.13,0.488,112.015,251400,3
Romance - Larghetto,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/6KP7ZXhhg7fThG3N1SU52S,2009,Arthur Rubinstein,classical,0,0.286,0.0723,4,-22.726,1,0.0347,0.989,0.934,0.0619,0.0582,85.737,645893,4
Drive,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/1CIutOc7V665Sw4UkIiFVd,2009,Burkhard Dallwitz,german soundtrack,22,0.686,0.275,8,-17.342,1,0.0448,0.173,0.878,0.0873,0.739,106.63,216040,4
Underground,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/6ajNNLC2BDy1bwqBUFEP2R,2009,Burkhard Dallwitz,german soundtrack,25,0.519,0.409,6,-14.924,1,0.0406,0.0468,0.819,0.107,0.342,114.117,57893,4
Do Something!,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/2JwXXyHnZGumw0P7hGq1iJ,2009,Burkhard Dallwitz,german soundtrack,19,0.23,0.21,5,-15.729,1,0.0384,0.00209,0.817,0.0917,0.0296,71.271,45469,3
Living Waters (from Anima Mundi),The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/56ae5oj3lsmxSZP9YgEDF0,2009,Philip Glass,american contemporary classical,21,0.153,0.0774,2,-19.88,0,0.0376,0.686,0.24,0.103,0.0347,137.339,228438,1
Reunion,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/5wlCZkeafyRcuBV884psKd,2009,Burkhard Dallwitz,german soundtrack,32,0.209,0.18,3,-14.392,1,0.0436,0.65,0.884,0.383,0.0383,110.812,146528,4
Truman Sleeps,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/4N7h4IHWRaJCOo1VFdTMHV,2009,Philip Glass,american contemporary classical,57,0.38,0.0797,8,-18.041,1,0.0438,0.991,0.935,0.123,0.0668,109.091,111832,4
Truman Sets Sail,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/7k8nBO9StGLV3UTpQjRpzW,2009,Burkhard Dallwitz,german soundtrack,30,0.135,0.19,5,-16.872,0,0.0361,0.711,0.881,0.367,0.0709,86.448,117313,4
Underground / Storm,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/7JA2EJr6hB1ChfHFPGuz6z,2009,Burkhard Dallwitz,german soundtrack,27,0.435,0.313,6,-14.608,1,0.0361,0.13,0.887,0.107,0.0764,113.806,217694,4
Raising the Sail,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/16PYTxg1aUlq83MT8FBnfl,2009,Philip Glass,american contemporary classical,42,0.346,0.00559,7,-30.422,0,0.0414,0.966,0.975,0.103,0.0378,107.936,135293,3
Father Kolbe's Preaching,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/0oCggEeyrqiRidQphSIyEC,2009,Orchestre Philharmonique National de Pologne,unknown,37,0.233,0.293,4,-11.573,1,0.0337,0.489,0.932,0.112,0.0484,108.737,146836,3
Opening (from Mishima),The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/1AlGh97DfTXqBWHZyxazgh,2009,Philip Glass,american contemporary classical,29,0.306,0.261,3,-17.045,1,0.037,0.229,0.93,0.236,0.0586,143.506,136870,4
A New Life,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/6lk6qxTpQCPT6Q0jV8yXNo,2009,Burkhard Dallwitz,german soundtrack,24,0.653,0.772,10,-10.652,0,0.0351,0.785,0.833,0.476,0.442,94.879,121027,4
Twentieth Century Boy,The Truman Show (Original Motion Picture Soundtrack),https://open.spotify.com/track/5JptF4jUe1H37nXzoy15BG,2009,The Big Six,unknown,32,0.531,0.818,9,-9.951,1,0.0527,0.405,0.00385,0.07,0.866,180.217,187373,4
