name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Godfather Waltz (Main Title),The Godfather,https://open.spotify.com/track/3WoSJF85H0qywD4qLp4HDd,1991-01-01,Nino Rota,classic soundtrack,53,0.213,0.107,0,-19.115,0,0.0392,0.974,0.879,0.0778,0.113,62.069,185467,4
I Have But One Heart,The Godfather,https://open.spotify.com/track/4rTozJf2UY14LNG6Q3E321,1991-01-01,Carlo Savina,vintage italian soundtrack,49,0.382,0.205,0,-14.904,1,0.0326,0.92,0.00309,0.234,0.264,97.854,177733,4
The Pickup,The Godfather,https://open.spotify.com/track/5ybGsOXzG2T6LnlyUw9hcx,1991-01-01,Nino Rota,classic soundtrack,39,0.197,0.284,5,-12.718,0,0.0326,0.903,0.817,0.116,0.0733,94.62,176867,4
Connie's Wedding,The Godfather,https://open.spotify.com/track/6g9qn6wAWGK7B0ISwIK0ki,1991-01-01,Nino Rota,classic soundtrack,41,0.651,0.69,7,-11.371,1,0.548,0.674,0.88,0.375,0.879,77.072,93573,3
The Halls Of Fear,The Godfather,https://open.spotify.com/track/2g9CWmKvjUhAF07k8E6Js3,1991-01-01,Nino Rota,classic soundtrack,41,0.22,0.219,1,-14.295,1,0.0325,0.972,0.858,0.0541,0.039,76.373,132533,4
Sicilian Pastorale,The Godfather,https://open.spotify.com/track/1TgdMhc341oncqEcMTorG0,1991-01-01,Nino Rota,classic soundtrack,43,0.216,0.0675,5,-18.781,0,0.0413,0.966,0.694,0.0897,0.0676,60.858,181667,4
"Love Theme From ""The Godfather""",The Godfather,https://open.spotify.com/track/39zu6JGd6tvRNsqyK78RLk,1991-01-01,Nino Rota,classic soundtrack,58,0.198,0.221,1,-12.706,1,0.0355,0.927,0.92,0.0797,0.0851,68.932,158960,4
The Godfather Waltz,The Godfather,https://open.spotify.com/track/6DtJ6DC2LBZohyHHeFs52u,1991-01-01,Nino Rota,classic soundtrack,48,0.226,0.166,7,-13.014,0,0.0415,0.977,0.875,0.09,0.115,115.057,215293,3
Apollonia,The Godfather,https://open.spotify.com/track/1wHjzlDCHmfG13zNmy9bxa,1991-01-01,Nino Rota,classic soundtrack,52,0.387,0.152,2,-22.195,0,0.0375,0.971,0.892,0.131,0.18,99.556,81173,3
The New Godfather,The Godfather,https://open.spotify.com/track/0hBoE68pNPrh9E8g0bStix,1991-01-01,Nino Rota,classic soundtrack,42,0.103,0.133,4,-15.915,0,0.0371,0.989,0.919,0.0993,0.0324,53.164,119013,3
The Baptism,The Godfather,https://open.spotify.com/track/0wD1K5KvryeHjlU20TGDkp,1991-01-01,Nino Rota,classic soundtrack,37,0.145,0.344,8,-10.389,1,0.0347,0.701,0.675,0.104,0.0702,69.942,110773,3
The Godfather Finale,The Godfather,https://open.spotify.com/track/3WoKGCQENAoYNu1NTrdLdy,1991-01-01,Nino Rota,classic soundtrack,46,0.183,0.264,5,-13.13,0,0.0364,0.956,0.841,0.107,0.0537,95.193,230733,3
