name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Arrival,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/3iDEpvKi4vTUwNGLyZoKjD,2012-01-01,Alan Silvestri,orchestral soundtrack,33,0.218,0.155,7,-18.836,1,0.0431,0.691,0.928,0.149,0.0388,125.362,179733,4
Doors Open from Both Sides,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/7GbPUlEs6BC8nYSh262K9t,2012-01-01,Alan Silvestri,orchestral soundtrack,24,0.147,0.0689,2,-23.634,0,0.043,0.826,0.846,0.117,0.0339,137.556,168920,5
Tunnel Chase,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/2SKmUY8VWxTaKvM9TGcNkX,2012-01-01,Alan Silvestri,orchestral soundtrack,24,0.137,0.392,4,-13.478,0,0.0594,0.592,0.941,0.107,0.0394,86.553,156667,3
Stark Goes Green,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/3FYYpFV6wIsuCorLyV0LyW,2012-01-01,Alan Silvestri,orchestral soundtrack,27,0.221,0.133,2,-24.38,0,0.0387,0.789,0.864,0.291,0.0389,129.482,161907,4
Helicarrier,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/3Lx9MxBh9VJcJGoh2NQfFF,2012-01-01,Alan Silvestri,orchestral soundtrack,34,0.259,0.42,10,-13.576,0,0.0344,0.718,0.909,0.108,0.0966,59.765,129187,4
Subjugation,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/1912FIywLGhbEGukUFwEXq,2012-01-01,Alan Silvestri,orchestral soundtrack,21,0.141,0.14,4,-15.471,0,0.0412,0.609,0.669,0.322,0.0384,140.352,180800,3
Don't Take My Stuff,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/7mpOAEs1UdiQRmMEl0heOo,2012-01-01,Alan Silvestri,orchestral soundtrack,22,0.16,0.323,4,-13.729,0,0.0443,0.721,0.897,0.326,0.0631,79.906,282627,4
Red Ledger,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/0k1dXy3EXi1Ob5eK3oRPm3,2012-01-01,Alan Silvestri,orchestral soundtrack,21,0.132,0.0603,7,-23.176,1,0.0385,0.764,0.863,0.111,0.0355,71.313,310987,3
Assault,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/51MCRbvzrOLaEhRJuQxO6u,2012-01-01,Alan Silvestri,orchestral soundtrack,23,0.224,0.386,0,-12.885,1,0.0557,0.431,0.8,0.101,0.0522,118.597,265947,3
They Called It,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/141mhjo6blKg3V0sKGJXg4,2012-01-01,Alan Silvestri,orchestral soundtrack,21,0.158,0.0355,7,-34.858,1,0.0428,0.0621,0.922,0.0936,0.0337,133.251,161893,4
Performance Issues,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/6gglkveBdH2tsVPVnYuEGL,2012-01-01,Alan Silvestri,orchestral soundtrack,24,0.171,0.328,0,-13.649,1,0.0472,0.643,0.93,0.106,0.0398,128.35,215453,4
"Seeing, Not Believing",The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/47UVqqSTRx50V9AAAYhYRR,2012-01-01,Alan Silvestri,orchestral soundtrack,21,0.155,0.497,0,-10.283,1,0.0451,0.247,0.925,0.0698,0.0999,79.861,265040,3
Assemble,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/7sHsV9qH0x2NpB7w5JuteV,2012-01-01,Alan Silvestri,orchestral soundtrack,38,0.197,0.482,5,-11.979,1,0.0725,0.204,0.827,0.152,0.0795,155.062,271853,4
I Got a Ride,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/4RBd03PBwN3LNr0er6fkxd,2012-01-01,Alan Silvestri,orchestral soundtrack,23,0.128,0.548,8,-10.197,1,0.042,0.437,0.9,0.146,0.164,178.852,240640,3
A Little Help,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/7lc2xOw2Sb7MUcFPiHvKxw,2012-01-01,Alan Silvestri,orchestral soundtrack,21,0.19,0.389,5,-13.049,0,0.0412,0.558,0.868,0.0954,0.0482,81.605,194520,4
One Way Trip,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/11NxBtHTWansOX39oIOdaI,2012-01-01,Alan Silvestri,orchestral soundtrack,26,0.146,0.356,5,-15.283,1,0.0485,0.527,0.894,0.13,0.0356,92.421,350373,3
A Promise,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/0tXYcptTvLtFKGTzZnsd0b,2012-01-01,Alan Silvestri,orchestral soundtrack,42,0.102,0.267,4,-13.828,0,0.0385,0.798,0.895,0.209,0.0383,74.56,214013,4
The Avengers,The Avengers (Original Motion Picture Soundtrack),https://open.spotify.com/track/5SXsXjVJCWeJuf7FHvgBYR,2012-01-01,Alan Silvestri,orchestral soundtrack,64,0.25,0.553,7,-8.188,1,0.0429,0.606,0.673,0.145,0.226,118.985,123360,4
