name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Dreaming of the Crash,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/2dDuHXxFxLsdYdBBtgjoEi,2014-11-18,Hans Zimmer,german soundtrack,59,0.135,0.0277,5,-35.251,1,0.0662,0.0528,0.957,0.269,0.0297,82.898,235838,3
Cornfield Chase,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/6pWgRkpqVfxnj3WuIcJ7WP,2014-11-18,Hans Zimmer,german soundtrack,79,0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,126960,4
Dust,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/1oFeXti9EanzUrHvWfRrfJ,2014-11-18,Hans Zimmer,german soundtrack,60,0.112,0.123,4,-23.025,0,0.0433,0.964,0.696,0.103,0.0298,92.617,341396,4
Day One (Interstellar Theme),Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/4WmB04GBqS4xPMYN9dHgBw,2014-11-18,Hans Zimmer,german soundtrack,71,0.311,0.0173,9,-27.788,0,0.0348,0.927,0.964,0.0727,0.0658,95.985,199423,3
Stay,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/1fTAs4YpBA7R21i0iB4j54,2014-11-18,Hans Zimmer,german soundtrack,60,0.0863,0.0476,5,-15.941,1,0.0449,0.00612,0.906,0.125,0.0222,85.368,412424,4
Message from Home,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/7A9l2AElHS3jM8EeESsesm,2014-11-18,Hans Zimmer,german soundtrack,57,0.232,0.00108,7,-42.044,1,0.0346,0.951,0.431,0.346,0.21,83.854,100878,4
The Wormhole,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/5tWPl23tRGaEbSz3f0lTsW,2014-11-18,Hans Zimmer,german soundtrack,56,0.14,0.0532,0,-28.662,1,0.0393,0.563,0.889,0.0748,0.021,95.78,90569,4
Mountains,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/0Sg3UL7f40ulmTh0Xwr6qY,2014-11-18,Hans Zimmer,german soundtrack,65,0.304,0.0585,9,-16.949,0,0.0351,0.59,0.928,0.0982,0.0371,119.975,219093,4
Afraid of Time,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/1UbDqlLHBY7SxKVamO6hqJ,2014-11-18,Hans Zimmer,german soundtrack,56,0.245,0.00336,9,-38.793,0,0.0451,0.92,0.0234,0.119,0.0505,119.949,152673,3
A Place Among the Stars,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/7KNoh3Bn4QfgkIGBywkAB0,2014-11-18,Hans Zimmer,german soundtrack,55,0.171,0.0325,4,-25.382,0,0.043,0.97,0.87,0.0756,0.0284,70.821,207118,3
Running Out,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/2S55wdtM46ufVMrRCQwm5o,2014-11-18,Hans Zimmer,german soundtrack,54,0.472,0.112,5,-36.284,1,0.0387,0.978,0.921,0.117,0.357,96.003,117241,5
I'm Going Home,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/4GcFycJt14aqnUGiEgG3JH,2014-11-18,Hans Zimmer,german soundtrack,54,0.102,0.179,0,-20.847,1,0.0477,0.968,0.775,0.324,0.0268,85.692,348552,1
Coward,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/4GBZUZe04pHVN0TLhejCSS,2014-11-18,Hans Zimmer,german soundtrack,55,0.427,0.262,0,-18.505,1,0.0429,0.244,0.879,0.227,0.0405,119.983,506876,4
Detach,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/4LFTLsnrGGZFtHdjlrV8Gx,2014-11-18,Hans Zimmer,german soundtrack,54,0.244,0.108,0,-14.973,1,0.0451,0.188,0.909,0.0509,0.0254,118.723,402202,4
S.T.A.Y.,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/6GUq9y0Iy5QrAuPYxTrFp2,2014-11-18,Hans Zimmer,german soundtrack,66,0.0793,0.0301,5,-30.777,1,0.0425,0.933,0.929,0.0741,0.0256,191.413,383513,3
Where We're Going,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/7e41gTSV9fKdsDqOgS47Wg,2014-11-18,Hans Zimmer,german soundtrack,55,0.226,0.0244,0,-23.512,1,0.0421,0.863,0.952,0.371,0.0266,95.951,461269,3
First Step,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/1gLLVtr9kIjmyoRzENZ11w,2014-11-18,Hans Zimmer,german soundtrack,62,0.163,0.084,9,-19.007,0,0.0329,0.433,0.95,0.102,0.0345,71.028,107767,4
Flying Drone,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/1xdoNSWRU59XRgtOgoQ1KH,2014-11-18,Hans Zimmer,german soundtrack,52,0.424,0.178,9,-23.049,0,0.0403,0.964,0.791,0.0835,0.314,96.117,113193,4
Atmospheric Entry,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/3rrIDEeu3ih9dAzop5LiPk,2014-11-18,Hans Zimmer,german soundtrack,50,0.0681,0.00552,0,-36.657,1,0.0611,0.000225,0.573,0.116,0.0282,74.42,100986,3
No Need to Come Back,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/31MXzK5KypH22SbSH7udKf,2014-11-18,Hans Zimmer,german soundtrack,50,0.0835,0.0264,9,-30.407,1,0.0398,0.707,0.967,0.111,0.0282,73.235,272910,4
Imperfect Lock,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/6PUTy3CwaxVbWuAIfAzw8X,2014-11-18,Hans Zimmer,german soundtrack,50,0.534,0.33,5,-27.167,1,0.0427,0.528,0.822,0.112,0.0345,120.013,414896,3
No Time for Caution,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/5aaXqH8rgKZxg61HjECldi,2014-11-18,Hans Zimmer,german soundtrack,63,0.262,0.224,9,-20.231,0,0.0463,0.0545,0.95,0.118,0.0388,119.715,246272,4
What Happens Now?,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/1mFyfphkJZh8njixmeRAxF,2014-11-18,Hans Zimmer,german soundtrack,50,0.187,0.103,0,-28.249,1,0.056,0.964,0.935,0.199,0.0224,68.955,146182,4
Who's They?,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/2LqPmrNUWC5xo33ONwdooI,2014-11-18,Hans Zimmer,german soundtrack,51,0.245,0.0169,4,-28.927,0,0.0368,0.992,0.957,0.058,0.0348,96.06,437139,4
Murph,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/5GQizQBj0KxTUgd3ZRzaRE,2014-11-18,Hans Zimmer,german soundtrack,50,0.0631,0.123,0,-18.226,1,0.0471,0.704,0.684,0.0602,0.0284,58.16,680779,4
Organ Variation,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/6dkJvNZ7DJWzTFXv3KHmoT,2014-11-18,Hans Zimmer,german soundtrack,55,0.179,0.00256,5,-31.258,1,0.0421,0.933,0.861,0.0826,0.0334,66.138,291805,4
Tick-Tock,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/5Di0EOfzgABjIldD2GaMVm,2014-11-18,Hans Zimmer,german soundtrack,55,0.261,0.231,9,-15.826,0,0.0388,0.271,0.9,0.239,0.0396,119.89,498852,4
Day One - Original Demo,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/1GelvXCuNRJkSTV8UwAAGw,2014-11-18,Hans Zimmer,german soundtrack,50,0.347,0.0213,9,-24.608,0,0.0356,0.97,0.926,0.0803,0.0385,96.101,229146,3
Day One Dark,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/1fVtXWaLht2ACju6yLRrRf,2014-11-18,Hans Zimmer,german soundtrack,50,0.301,0.308,9,-18.163,0,0.0481,0.698,0.924,0.345,0.11,119.967,417240,3
Do Not Go Gentle Into That Good Night,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],https://open.spotify.com/track/4vSlIeLQxLnmSMGO8VggwM,2014-11-18,Hans Zimmer,german soundtrack,49,0.0,0.0537,5,-30.709,1,0.0,0.939,0.331,0.0475,0.0,0.0,99105,0
