name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Last Seven Days,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/1fSagdIghvgP711RR39j99,1995,Howard Shore,canadian classical,0,0.2,0.0179,0,-28.699,1,0.0415,0.975,0.781,0.0901,0.0354,70.091,133867,4
Gluttony,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/7In8LFUdQqaQFG0vzsTkTW,1995,Howard Shore,canadian classical,0,0.0653,0.0825,0,-22.8,0,0.0352,0.656,0.754,0.118,0.0372,74.513,343773,5
Linoleum,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/4NAXrzEKoSb5jHnODIvZWU,1995,Howard Shore,canadian classical,0,0.0769,0.0822,5,-23.369,1,0.0324,0.758,0.912,0.0949,0.0621,82.169,144347,5
Somerset,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/1RTGsqFENsHpIoYfH9f5g7,1995,Howard Shore,canadian classical,0,0.0923,0.046,0,-20.269,0,0.0391,0.98,0.675,0.0937,0.0463,163.97,63893,5
Greed,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/61KQwcxfGRnIeGw7eYG0bu,1995,Howard Shore,canadian classical,0,0.181,0.122,5,-30.854,1,0.0536,0.796,0.933,0.588,0.0366,77.029,218973,4
Mrs. Mills,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/0CaDOFeCSkquMZhw0pjAOR,1995,Howard Shore,canadian classical,0,0.199,0.192,2,-18.582,0,0.0488,0.506,0.796,0.109,0.0328,125.532,64667,4
Help Me,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/3LHZIiv4GLvZls2kX6lhF2,1995,Howard Shore,canadian classical,0,0.119,0.0935,2,-24.613,0,0.0396,0.795,0.967,0.0984,0.0378,92.254,210733,3
Sloth,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/05TI4ubTRI88fYjQXa4D9s,1995,Howard Shore,canadian classical,0,0.0908,0.229,9,-17.829,0,0.0365,0.836,0.897,0.0938,0.141,81.719,329387,4
Library,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/21akKHGYlwoSEXS4flYUbJ,1995,Howard Shore,canadian classical,0,0.089,0.151,4,-24.59,1,0.0415,0.917,0.948,0.101,0.0355,86.347,139427,4
John Doe,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/0mwi15ks3Z1btc2VywDQV4,1995,Howard Shore,canadian classical,0,0.0802,0.325,10,-14.665,0,0.0372,0.73,0.763,0.305,0.0384,82.658,362467,4
Apartment #604,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/5nIVROexFjjFsbLiDTTfpc,1995,Howard Shore,canadian classical,0,0.16,0.154,1,-21.124,1,0.0392,0.916,0.941,0.0984,0.0374,130.298,254880,1
Lust,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/6YLWcylHwPSOvjsV0Q4kWM,1995,Howard Shore,canadian classical,0,0.0609,0.155,3,-20.564,0,0.0419,0.903,0.485,0.0962,0.0363,71.28,231693,1
Pride,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/6A3us1emQHR3dyMHvlphdD,1995,Howard Shore,canadian classical,0,0.145,0.158,8,-19.102,1,0.0425,0.803,0.924,0.106,0.0393,137.441,240600,5
The Wire,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/4PptxfTGe2YST6BtIyqSFm,1995,Howard Shore,canadian classical,0,0.167,0.124,2,-18.922,0,0.0393,0.754,0.948,0.114,0.0485,79.196,194560,1
Envy,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/5Pi02jmdL0Sy60rVCm9Qaf,1995,Howard Shore,canadian classical,0,0.0738,0.0649,0,-22.755,0,0.0411,0.819,0.573,0.11,0.038,80.239,429173,5
Wrath,Seven: Complete Original Score (Collector's Edition),https://open.spotify.com/track/2GJ1rpodENhQVyZ2zLrGRi,1995,Howard Shore,canadian classical,0,0.185,0.0606,8,-19.722,1,0.0344,0.404,0.86,0.119,0.04,124.463,316120,5
