name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Half Remembered Dream,Inception (Music from the Motion Picture),https://open.spotify.com/track/7DU7DNVDZouvJ34tPcPxBj,2010-07-09,Hans Zimmer,german soundtrack,47,0.134,0.112,7,-27.401,1,0.044,0.352,0.447,0.146,0.0479,81.224,71956,3
We Built Our Own World,Inception (Music from the Motion Picture),https://open.spotify.com/track/1VCBfWtJOGPV3mtGw8mSlW,2010-07-09,Hans Zimmer,german soundtrack,46,0.283,0.0707,7,-28.994,0,0.0386,0.0519,0.884,0.657,0.0421,62.99,115798,3
Dream Is Collapsing,Inception (Music from the Motion Picture),https://open.spotify.com/track/5xKVYMxOHB2XRLCUafFrz6,2010-07-09,Hans Zimmer,german soundtrack,61,0.518,0.433,8,-12.194,1,0.0313,0.0711,0.79,0.42,0.0892,126.017,143805,3
Radical Notion,Inception (Music from the Motion Picture),https://open.spotify.com/track/7G799Mcsbvfn5TSWZ7u7gI,2010-07-09,Hans Zimmer,german soundtrack,46,0.173,0.215,8,-22.766,1,0.0487,0.622,0.839,0.123,0.0374,168.468,222940,4
Old Souls,Inception (Music from the Motion Picture),https://open.spotify.com/track/3maMYEbpgp1ttMONc8Wjyr,2010-07-09,Hans Zimmer,german soundtrack,46,0.299,0.115,2,-25.072,0,0.0383,0.913,0.926,0.0806,0.0396,94.942,463982,4
528491,Inception (Music from the Motion Picture),https://open.spotify.com/track/6s543KncTsc2rJtMd6kJ8v,2010-07-09,Hans Zimmer,german soundtrack,48,0.262,0.303,0,-15.01,1,0.0351,0.0107,0.689,0.116,0.0458,97.966,143777,4
Mombasa,Inception (Music from the Motion Picture),https://open.spotify.com/track/77QDBf1zTvyegtTpAO5EpH,2010-07-09,Hans Zimmer,german soundtrack,52,0.511,0.834,9,-13.307,0,0.0312,0.00266,0.813,0.514,0.341,144.987,294361,4
One Simple Idea,Inception (Music from the Motion Picture),https://open.spotify.com/track/3C12og48CWBrxVV2FK6Dhw,2010-07-09,Hans Zimmer,german soundtrack,45,0.332,0.283,2,-18.227,1,0.0392,0.466,0.751,0.167,0.0537,168.093,148368,4
Dream Within a Dream,Inception (Music from the Motion Picture),https://open.spotify.com/track/7ifWgqspqvPpQWXCfyrho4,2010-07-09,Hans Zimmer,german soundtrack,47,0.165,0.402,2,-14.13,0,0.037,0.0863,0.816,0.0835,0.0516,86.906,304310,4
Waiting for a Train,Inception (Music from the Motion Picture),https://open.spotify.com/track/3iR6S8t0mOLUZUAB77KgrP,2010-07-09,Hans Zimmer,german soundtrack,43,0.0828,0.168,9,-17.612,0,0.0364,0.664,0.945,0.0833,0.0353,80.724,570261,4
Paradox,Inception (Music from the Motion Picture),https://open.spotify.com/track/3NVrDGv0eYHeN4M8Abf4UX,2010-07-09,Hans Zimmer,german soundtrack,43,0.0759,0.119,9,-30.289,0,0.0534,0.716,0.841,0.0814,0.0289,176.195,205430,4
Time,Inception (Music from the Motion Picture),https://open.spotify.com/track/6ZFbXIJkuI1dVNWvzJzown,2010-07-09,Hans Zimmer,german soundtrack,75,0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,275556,4
