name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Winged,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/1GXjpLeFkv5mmdzCTS2Bq7,2012-01-01,James Russo,unknown,1,0.0,0.376,6,-12.392,1,0.0,0.683,0.0,0.289,0.0,0.0,8573,0
Django,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/6I2BDcHnG8De0Kn7mVSNZE,2012-01-01,Luis Bacalov,classic soundtrack,42,0.456,0.736,2,-4.818,0,0.0292,0.485,6.47e-06,0.109,0.482,97.211,173693,3
The Braying Mule,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/3bbLUGBH67ko5kKZqLYEg6,2012-01-01,Ennio Morricone,classic soundtrack,31,0.725,0.541,9,-11.214,1,0.0555,0.822,0.0127,0.122,0.107,95.395,153187,4
"""In The Case Django, After You...""",Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/6Qd4hiRZp6d6Rf6ix0Jgt2,2012-01-01,Christoph Waltz,unknown,23,0.716,0.348,3,-22.484,0,0.701,0.684,7.67e-06,0.437,0.847,99.534,38760,4
Lo Chiamavano King (His Name Is King),Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/5FIpDMeiZGa1VR9S6XOP7b,2012-01-01,Luis Bacalov,classic soundtrack,35,0.519,0.662,9,-4.398,0,0.0513,0.527,3.14e-06,0.106,0.607,90.222,117960,4
Freedom,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/6KufYdEosLjK6bEKPyz4oA,2012-01-01,Anthony Hamilton,contemporary r&b,45,0.773,0.389,1,-8.444,0,0.0337,0.579,7.87e-06,0.124,0.338,111.975,236653,4
Five-Thousand-Dollar Nigga's And Gummy Mouth Bitches,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/30gulSklPLwFYMs0D9sKnK,2012-01-01,Don Johnson,unknown,22,0.555,0.295,11,-16.741,0,0.917,0.924,0.0,0.555,0.652,84.711,56387,3
La Corsa (2nd Version),Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/0xs2yNZ7cFWwUfjY1s44hT,2012-01-01,Luis Bacalov,classic soundtrack,26,0.0788,0.451,4,-7.014,0,0.0367,0.66,0.871,0.141,0.0747,66.704,138427,4
Sneaky Schultz And The Demise Of Sharp,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/6bb7kGEyGJ9B6pHnBSQq3J,2012-01-01,Don Straud,unknown,20,0.713,0.384,1,-13.814,1,0.95,0.704,0.0,0.719,0.772,78.769,34267,1
I Got A Name,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,https://open.spotify.com/track/0BTFSLbKC5VRBNvjnkrfEk,2012-01-01,Jim Croce,classic rock,46,0.548,0.74,4,-9.338,1,0.0398,0.775,2.96e-05,0.341,0.606,87.321,195053,4
