name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Above Earth,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/4wrfG7WZathU9Z6tXlPxd1,2013-09-17,Steven Price,british soundtrack,32,0.0913,0.0535,7,-30.173,0,0.0497,0.767,0.974,0.114,0.0287,86.642,110320,3
Debris,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/0Q7rAIKYY7wM0bxBuFJwGb,2013-09-17,Steven Price,british soundtrack,30,0.161,0.386,9,-18.197,1,0.0672,0.0459,0.928,0.0933,0.0602,132.058,264507,1
The Void,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/0CaXvVYBKuYKFNarKxLJet,2013-09-17,Steven Price,british soundtrack,24,0.163,0.201,9,-23.082,1,0.0478,0.212,0.855,0.59,0.0357,110.417,375827,4
Atlantis,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/0Xq0gLdVqzJgGK5FE0d4yj,2013-09-17,Steven Price,british soundtrack,21,0.155,0.0648,8,-25.356,1,0.0425,0.0444,0.909,0.608,0.0338,107.425,223040,4
Don't Let Go,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/1vIokSEqhWliUYxFZH0itR,2013-09-17,Steven Price,british soundtrack,25,0.155,0.174,8,-19.715,0,0.0433,0.174,0.944,0.124,0.0335,135.079,671547,4
Airlock,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/21yhujlBLMgsQ36uHLbirX,2013-09-17,Steven Price,british soundtrack,34,0.204,0.0221,5,-36.837,1,0.046,0.972,0.95,0.0763,0.035,69.914,117493,3
ISS,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/73zoZwGgo5COLshBxDQruY,2013-09-17,Steven Price,british soundtrack,26,0.0686,0.0584,8,-30.167,0,0.0408,0.859,0.884,0.159,0.0344,72.367,173347,3
Fire,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/4R524MefpwsyBMhWBoXgMj,2013-09-17,Steven Price,british soundtrack,20,0.144,0.27,2,-17.101,1,0.0613,0.00215,0.772,0.0882,0.0272,141.436,177867,1
Parachute,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/3N3IVD44cBFqW2YO3ZLC3o,2013-09-17,Steven Price,british soundtrack,21,0.146,0.195,9,-19.504,1,0.0512,0.0609,0.892,0.0793,0.0341,139.437,460693,4
In The Blind,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/4txAovqvLIOt147dT8wKnC,2013-09-17,Steven Price,british soundtrack,21,0.157,0.0141,0,-28.992,0,0.059,0.0582,0.846,0.605,0.0326,108.322,187573,3
Aurora Borealis,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/5g9NzypcJDL0NTzJqpS3lx,2013-09-17,Steven Price,british soundtrack,41,0.221,0.00485,2,-42.57,1,0.0314,0.789,0.00424,0.223,0.0663,72.969,103187,3
Aningaaq,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/5QLoJobHVOWEdodeWghQmS,2013-09-17,Steven Price,british soundtrack,39,0.0619,0.0466,5,-31.148,1,0.0461,0.613,0.979,0.485,0.036,59.318,308720,4
Soyuz,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/1k6X3Rug5zeeKBXxIg8prc,2013-09-17,Steven Price,british soundtrack,28,0.172,0.027,8,-34.147,0,0.0479,0.784,0.333,0.0795,0.0313,118.193,102920,4
Tiangong,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/2yImRJOeJ6r7STCWs1xfal,2013-09-17,Steven Price,british soundtrack,27,0.172,0.272,2,-16.962,0,0.0446,0.0686,0.953,0.0863,0.033,121.76,388453,4
Shenzou,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/2wvbsitBWJOWgbYoijHbWy,2013-09-17,Steven Price,british soundtrack,39,0.301,0.499,1,-12.006,0,0.0365,0.000122,0.887,0.165,0.0377,120.827,371200,4
Gravity,Gravity (Original Motion Picture Soundtrack),https://open.spotify.com/track/2mFea4DOhY3iShay4BQ0se,2013-09-17,Steven Price,british soundtrack,51,0.117,0.256,8,-15.356,0,0.042,0.176,0.979,0.199,0.0579,92.671,275320,4
