name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Overture,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/5VL8MlwmJWbfM36ec4kr3e,1983-01-01,Andrew Lloyd Webber,broadway,32,0.32,0.454,5,-8.322,1,0.0361,0.843,0.928,0.611,0.189,114.021,170227,3
Prologue: Jellicle Songs For Jellicle Cats,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/6289qjXzSEinfsGnXLmeoA,1983-01-01,Andrew Lloyd Webber,broadway,39,0.617,0.587,5,-9.716,1,0.553,0.872,0.0,0.441,0.482,144.325,317253,4
The Naming Of Cats,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/10X2Gzz402veKjHbdCY6jH,1983-01-01,Andrew Lloyd Webber,broadway,32,0.404,0.534,5,-16.951,0,0.878,0.924,0.0,0.349,0.079,62.168,181693,4
The Invitation To The Jellicle Ball,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/5yIGoNLlojxaK5ZMNLWu7u,1983-01-01,Andrew Lloyd Webber,broadway,32,0.44,0.301,10,-11.814,1,0.0523,0.9,9.53e-06,0.0832,0.185,134.619,129747,3
The Old Gumbie Cat,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/6tmZXet9nYltm4z5XPIe01,1983-01-01,Andrew Lloyd Webber,broadway,34,0.64,0.429,7,-8.14,1,0.0689,0.839,0.0,0.0788,0.453,79.613,228680,4
The Rum Tum Tugger,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/7vhTUp6Ae7rREq7bUntG14,1983-01-01,Andrew Lloyd Webber,broadway,38,0.69,0.719,9,-6.537,1,0.147,0.726,0.0,0.158,0.693,123.997,222280,4
Grizabella: The Glamour Cat,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/6L6JhAiDLsQNPhFvkWdeq5,1983-01-01,Andrew Lloyd Webber,broadway,32,0.291,0.179,0,-11.227,1,0.0323,0.881,0.000679,0.213,0.092,76.339,185613,4
Bustopher Jones,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/0Z16Nykh8v91bLWs2Hplnz,1983-01-01,Andrew Lloyd Webber,broadway,31,0.589,0.336,4,-10.007,1,0.0898,0.863,1.54e-06,0.0955,0.401,124.812,188067,4
Mungojerrie And Rumpelteazer,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/18Mqqux8S3CSCmLb2KXzZp,1983-01-01,Andrew Lloyd Webber,broadway,34,0.762,0.471,2,-8.138,1,0.162,0.594,0.0,0.0976,0.619,118.728,268253,4
Old Deuteronomy,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/0tfkZ7zSlHJyY6urEuTSr6,1983-01-01,Andrew Lloyd Webber,broadway,30,0.239,0.155,0,-15.709,1,0.0433,0.943,3.76e-05,0.384,0.0714,66.698,242827,3
The Jellicle Ball,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/1j62HHgYh7Uah0lGl8OOln,1983-01-01,Andrew Lloyd Webber,broadway,31,0.341,0.556,3,-8.217,1,0.161,0.909,0.0666,0.522,0.179,80.661,574160,4
Grizabella: The Glamour Cat / Memory - Medley,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/3OnM36o2sN9MCRqsR6vjh8,1983-01-01,Andrew Lloyd Webber,broadway,29,0.224,0.101,5,-13.041,1,0.0375,0.927,0.0027,0.0975,0.0501,75.218,262187,4
The Moments Of Happiness,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/60EY6nWA91tu7rDcaJ1sJi,1983-01-01,Andrew Lloyd Webber,broadway,27,0.294,0.188,8,-15.947,1,0.0403,0.937,0.00409,0.197,0.0425,124.883,191600,4
Gus: The Theatre Cat,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/62PfeHzytur1RDOYTHA9XO,1983-01-01,Andrew Lloyd Webber,broadway,28,0.488,0.219,2,-14.525,1,0.0936,0.95,0.0,0.132,0.276,112.695,391707,3
Growltiger's Last Stand / The Ballad Of Billy McCaw,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/5AfTAra1cEVXMsH50FvAHg,1983-01-01,Andrew Lloyd Webber,broadway,26,0.39,0.331,5,-9.3,0,0.0369,0.913,0.000271,0.107,0.164,96.328,701187,4
Skimbleshanks: The Railway Cat,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/1yjHUdUz575aFPAaGAO60L,1983-01-01,Andrew Lloyd Webber,broadway,34,0.567,0.699,4,-8.066,1,0.164,0.767,0.0,0.619,0.681,144.284,291987,4
Macavity: The Mystery Cat,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/1xTp65doSyf0vZz7OEsTyr,1983-01-01,Andrew Lloyd Webber,broadway,35,0.502,0.393,10,-9.461,1,0.182,0.806,3.93e-05,0.136,0.214,133.788,503320,3
Mr. Mistoffelees,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/2yxQE16346KHzb84xpv4KS,1983-01-01,Andrew Lloyd Webber,broadway,38,0.701,0.532,6,-7.979,1,0.0483,0.772,4.2e-06,0.478,0.675,92.407,265053,4
Memory,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/2Qw6jgFXAmCBjTgpu18Nv2,1983-01-01,Andrew Lloyd Webber,broadway,47,0.254,0.231,3,-9.668,1,0.0302,0.906,0.0084,0.114,0.0735,81.509,320573,3
The Journey To The Heaviside Layer,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/1c4NpKUtZcMksueBEJ0MiL,1983-01-01,Andrew Lloyd Webber,broadway,29,0.353,0.346,3,-9.787,1,0.0287,0.879,0.0523,0.607,0.125,96.925,163600,4
The Ad-Dressing Of Cats,Cats (Original Broadway Cast Recording / 1983),https://open.spotify.com/track/2FQGMcSQxgJXKccBe2x7IP,1983-01-01,Andrew Lloyd Webber,broadway,27,0.344,0.339,11,-12.395,1,0.0395,0.848,8.27e-05,0.145,0.192,97.03,262333,4
