name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Prologue: Tradition,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/4zDDZJwQrmg4yUmQZR3TKY,1986-02-24,Zero Mostel,broadway,27,0.512,0.278,7,-18.446,1,0.304,0.818,0.0,0.0937,0.401,80.118,414600,4
"Matchmaker, Matchmaker",Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/7eDxTFAu6YSHoLbMUxBLbW,1986-02-24,Tanya Everett,unknown,23,0.52,0.11,4,-23.797,1,0.162,0.857,0.0,0.626,0.57,66.61,222493,4
If I Were a Rich Man,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/6ZnUqz0QxsU3nZvUweyG3U,1986-02-24,Zero Mostel,broadway,32,0.538,0.187,1,-19.698,1,0.178,0.918,0.0,0.178,0.541,142.368,295933,3
Sabbath Prayer,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/10gns3JRwEdHEJEwsX2ywu,1986-02-24,Zero Mostel,broadway,22,0.265,0.0967,5,-20.586,1,0.033,0.957,2.18e-05,0.148,0.22,77.689,146627,4
To Life,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/4e4vGO9HxjvWUfMMpWv9Xg,1986-02-24,Zero Mostel,broadway,25,0.509,0.492,5,-15.814,0,0.127,0.887,0.0,0.649,0.663,135.804,251640,4
Miracle of Miracles,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/0pzK4xatrHBKoJqRpxjyqc,1986-02-24,Austin Pendleton,unknown,21,0.5,0.303,9,-17.601,1,0.107,0.814,0.0,0.261,0.802,148.039,121427,4
The Dream,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/30rAXF7qVaDhxFcr7JXKfX,1986-02-24,Sue Babel,unknown,21,0.534,0.341,10,-17.314,1,0.716,0.876,0.0,0.336,0.416,167.112,368000,4
"Sunrise, Sunset",Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/76HWkmMkbYmIjDMUw6jgPb,1986-02-24,Julia Migenes,unknown,25,0.373,0.0852,5,-20.537,0,0.034,0.891,0.0,0.1,0.426,115.309,213667,3
Wedding Dance,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/74f14f2G0k3j0VPiWQ6kho,1986-02-24,Fiddler on the Roof Orchestra,unknown,20,0.339,0.333,7,-16.908,1,0.0712,0.904,0.754,0.444,0.347,106.757,131573,4
Now I Have Everything,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/4aSiFf6TYoQdGdBHjc1Pr4,1986-02-24,Julia Migenes,unknown,20,0.513,0.121,7,-18.999,1,0.0424,0.93,0.0,0.0966,0.513,114.131,124240,4
Do You Love Me?,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/0oR02LzPpi4khEy1HOnij1,1986-02-24,Zero Mostel,broadway,21,0.457,0.0837,5,-22.55,1,0.197,0.89,0.0,0.129,0.363,171.112,188867,5
The Rumor,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/3AS5xtw1NV05WulJaWpGGC,1986-02-24,Paul Lipson,video game music,19,0.624,0.224,5,-22.701,1,0.558,0.796,0.0,0.196,0.685,148.243,112333,4
Far from the Home I Love,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/0R3ZnAHzb3hLoCvfyHQyIe,1986-02-24,Julia Migenes,unknown,20,0.401,0.111,0,-19.441,1,0.0989,0.906,0.0,0.265,0.437,161.279,210093,5
Anatevka,Fiddler on the Roof (Original Broadway Cast Recording),https://open.spotify.com/track/5NCM7Pe2BHhk3bNxurdSdj,1986-02-24,Paul Lipson,video game music,19,0.472,0.0945,7,-22.29,1,0.0708,0.873,0.0,0.106,0.255,98.452,189773,4
