name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
This Is Berk,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/1g3Bc80hioYOSitxntNQYi,2010-01-01,John Powell,british soundtrack,60,0.255,0.489,3,-9.459,1,0.0587,0.512,0.808,0.229,0.3,123.267,250267,4
Dragon Battle,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/0ifIbMqGk7SIWRW7LcMQaa,2010-01-01,John Powell,british soundtrack,49,0.286,0.527,2,-7.689,1,0.0333,0.302,0.888,0.12,0.321,131.409,115013,4
The Downed Dragon,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/26hEU8M4kg9Bsm9Es43CY8,2010-01-01,John Powell,british soundtrack,49,0.092,0.138,7,-16.884,1,0.0382,0.315,0.654,0.283,0.0602,166.306,256800,3
Dragon Training,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/1ywLpOoJdesJT9j8fkZfls,2010-01-01,John Powell,british soundtrack,49,0.308,0.568,9,-10.823,0,0.054,0.0156,0.914,0.105,0.0814,132.458,191093,3
Wounded,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/1I79Xq5PwpJDvrpZSdE9Tw,2010-01-01,John Powell,british soundtrack,46,0.171,0.15,7,-25.065,1,0.0388,0.83,0.786,0.11,0.0368,114.833,85787,3
The Dragon Book,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/2akmHxuzNewpvDhbZRmxgm,2010-01-01,John Powell,british soundtrack,47,0.283,0.231,3,-20.398,1,0.0327,0.391,0.87,0.111,0.192,82.685,142693,4
"Focus, Hiccup!",How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/0yLBvX8Og6MasLu0hUwiBk,2010-01-01,John Powell,british soundtrack,45,0.359,0.771,5,-9.195,0,0.147,0.316,0.843,0.128,0.229,78.71,125613,4
Forbidden Friendship,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/0S7XIu0dn63ayGxjefd5It,2010-01-01,John Powell,british soundtrack,59,0.279,0.295,6,-15.135,1,0.035,0.859,0.94,0.547,0.381,129.169,251093,4
New Tail,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/5CgImDCwodR7FKwd79i8Gv,2010-01-01,John Powell,british soundtrack,51,0.128,0.262,7,-13.398,1,0.0545,0.466,0.816,0.0561,0.0929,82.626,168133,4
See You Tomorrow,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/7D9Jhcu3r5UcVbqwKuZKsV,2010-01-01,John Powell,british soundtrack,52,0.434,0.583,7,-10.376,1,0.0557,0.246,0.852,0.119,0.224,122.983,233453,4
Test Drive - From How To Train Your Dragon Music From The Motion Picture,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/2QTDuJIGKUjR7E2Q6KupIh,2010-01-01,John Powell,british soundtrack,68,0.259,0.583,2,-9.489,1,0.0418,0.0249,0.978,0.328,0.24,111.153,156307,4
Not So Fireproof,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/4UTk5kksnYHrYsYy8d4CJM,2010-01-01,John Powell,british soundtrack,47,0.327,0.119,4,-21.844,0,0.0379,0.873,0.7,0.112,0.205,88.112,72467,4
This Time For Sure,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/4Xr81LWoKa6nAfOKy8eKB3,2010-01-01,John Powell,british soundtrack,48,0.45,0.72,3,-11.081,0,0.0565,0.162,0.923,0.562,0.616,131.162,43987,4
Astrid Goes For A Spin,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/2QvHNNP2qKQn7mzqf5vDH3,2010-01-01,John Powell,british soundtrack,50,0.423,0.944,0,-6.297,0,0.223,0.0527,0.861,0.157,0.145,126.745,43240,4
Romantic Flight - From How To Train Your Dragon Music From The Motion Picture,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/51v7yO07BdGgP6hv0OaDe2,2010-01-01,John Powell,british soundtrack,64,0.221,0.32,6,-11.829,1,0.0315,0.47,0.864,0.114,0.234,103.511,116480,3
Dragon's Den,How To Train Your Dragon (Music From The Motion Picture),https://open.spotify.com/track/3kZEbZXTDpSC3HmosIsDpf,2010-01-01,John Powell,british soundtrack,46,0.4,0.462,11,-11.369,1,0.0407,0.346,0.717,0.0385,0.238,108.952,149293,4
