name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Opening Titles,Jurassic Park,https://open.spotify.com/track/4se6hOGsTWbj3zrXUBIv18,1993-05-25,John Williams,orchestral soundtrack,44,0.105,0.027,11,-28.314,0,0.0369,0.922,0.999,0.139,0.0352,157.238,33307,5
Theme From Jurassic Park,Jurassic Park,https://open.spotify.com/track/2TZbQZXOuR8osP2AK8yYMN,1993-05-25,John Williams,orchestral soundtrack,64,0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,207427,3
Incident At Isla Nublar,Jurassic Park,https://open.spotify.com/track/2g8LpHx12y7wNSpxGTu4SA,1993-05-25,John Williams,orchestral soundtrack,42,0.199,0.119,1,-20.965,1,0.0433,0.777,0.729,0.0917,0.0398,118.097,320200,5
Journey To The Island,Jurassic Park,https://open.spotify.com/track/0QCvok3TPhk7JhQF0gYmBw,1993-05-25,John Williams,orchestral soundtrack,47,0.189,0.15,10,-18.483,1,0.0362,0.894,0.918,0.12,0.0976,109.687,532707,4
The Raptor Attack,Jurassic Park,https://open.spotify.com/track/7I4Z8zdRYry27TDHpmRXzH,1993-05-25,John Williams,orchestral soundtrack,40,0.0866,0.115,10,-22.543,1,0.0554,0.666,0.603,0.128,0.0475,82.36,169000,4
Hatching Baby Raptor,Jurassic Park,https://open.spotify.com/track/3QO9oM3Y1sUnQUtVKHxTgD,1993-05-25,John Williams,orchestral soundtrack,38,0.0647,0.0146,5,-33.023,0,0.0415,0.978,0.937,0.0868,0.0315,69.055,200493,3
Welcome To Jurassic Park,Jurassic Park,https://open.spotify.com/track/7MW1YzseA4CGfrZMBLqQWK,1993-05-25,John Williams,orchestral soundtrack,54,0.117,0.0843,7,-20.023,1,0.038,0.902,0.882,0.0764,0.0529,81.659,474933,4
"My Friend, The Brachiosaurus",Jurassic Park,https://open.spotify.com/track/6X0uQygKarrdm8fpBBTHnb,1993-05-25,John Williams,orchestral soundtrack,38,0.161,0.0242,5,-33.006,1,0.0448,0.952,0.744,0.102,0.0771,66.648,256333,4
Dennis Steals The Embryo,Jurassic Park,https://open.spotify.com/track/3bFkWsCiamSDrTjjdH1Q9U,1993-05-25,John Williams,orchestral soundtrack,37,0.209,0.0797,10,-31.606,0,0.0335,0.839,0.888,0.11,0.208,173.234,295773,3
A Tree For My Bed,Jurassic Park,https://open.spotify.com/track/799BZgHYabYSYp7VtpIWcb,1993-05-25,John Williams,orchestral soundtrack,43,0.165,0.0058,2,-37.076,1,0.0392,0.932,0.0285,0.2,0.0954,131.681,132027,5
High-Wire Stunts,Jurassic Park,https://open.spotify.com/track/2sPJ9S1WvvlVkmVP4q62jv,1993-05-25,John Williams,orchestral soundtrack,35,0.144,0.13,7,-21.136,1,0.0448,0.893,0.775,0.0902,0.0542,166.486,248907,4
Remembering Petticoat Lane,Jurassic Park,https://open.spotify.com/track/3wMqamPTXQDX8jbTkp5CJN,1993-05-25,John Williams,orchestral soundtrack,35,0.127,0.00143,6,-42.257,1,0.0496,0.956,0.338,0.0506,0.0391,80.653,167760,1
Jurassic Park Gate,Jurassic Park,https://open.spotify.com/track/5FRq7dglJb7IXIRThBjqs1,1993-05-25,John Williams,orchestral soundtrack,36,0.21,0.0268,10,-28.104,0,0.043,0.759,0.885,0.0978,0.0321,175.821,123707,4
Eye To Eye,Jurassic Park,https://open.spotify.com/track/0zgg2NJG0LVXa5MyrNdET6,1993-05-25,John Williams,orchestral soundtrack,34,0.149,0.0138,1,-32.556,1,0.0369,0.86,0.669,0.289,0.0354,98.481,392200,3
T-Rex Rescue & Finale,Jurassic Park,https://open.spotify.com/track/7b9xle5oNPcP8RhKAigodn,1993-05-25,John Williams,orchestral soundtrack,35,0.187,0.344,8,-16.183,1,0.0438,0.789,0.395,0.0809,0.0991,175.273,459693,3
End Credits,Jurassic Park,https://open.spotify.com/track/10dA8ziqSpYaeeqLGEGKmr,1993-05-25,John Williams,orchestral soundtrack,47,0.149,0.169,5,-17.504,1,0.0339,0.905,0.805,0.12,0.0621,79.452,205840,4
