name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bury the Hatchling,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/3k5kouG1AYu9DtISH6LWIp,2015-06-09,Michael Giacchino,orchestral soundtrack,34,0.167,0.0553,1,-22.574,1,0.0364,0.89,0.829,0.102,0.0308,94.976,116107,3
The Family That Strays Together,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/64fzFPaWM8hj9sb7twR8NB,2015-06-09,Michael Giacchino,orchestral soundtrack,36,0.232,0.0779,2,-19.952,0,0.0331,0.98,0.987,0.0929,0.178,77.196,60481,4
Welcome to Jurassic World,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/3aDH2C8MwdlxlFSI0B7f0F,2015-06-09,Michael Giacchino,orchestral soundtrack,53,0.192,0.159,10,-13.067,1,0.0353,0.945,0.858,0.13,0.0539,58.546,128864,4
As the Jurassic World Turns,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/7GWJXzYqtvNgCaW1QUfRVw,2015-06-09,Michael Giacchino,orchestral soundtrack,39,0.231,0.312,9,-13.918,1,0.0363,0.802,0.854,0.174,0.0394,94.319,330962,4
Clearly His First Rodeo,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/0xYSxzPF5u4TKfslxnbyJs,2015-06-09,Michael Giacchino,orchestral soundtrack,29,0.203,0.295,9,-15.226,1,0.0457,0.652,0.93,0.261,0.0384,118.662,208493,4
Owen You Nothing,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/6rmclEtkGExw7TY7fIcc9f,2015-06-09,Michael Giacchino,orchestral soundtrack,30,0.27,0.0247,2,-25.988,1,0.0398,0.931,0.878,0.155,0.143,69.965,79873,3
Indominus Wrecks,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/6EoGY46eGCSvGuIwwhzdsL,2015-06-09,Michael Giacchino,orchestral soundtrack,30,0.146,0.107,10,-20.257,0,0.0395,0.594,0.872,0.114,0.0267,145.398,371696,4
Gyrosphere of Influence,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/3mSbQu2lKBBdBZTFPxlnf0,2015-06-09,Michael Giacchino,orchestral soundtrack,30,0.177,0.0865,9,-19.913,1,0.0374,0.706,0.911,0.119,0.0333,110.178,194325,4
Pavane for a Dead Apatosaurus,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/6HdFu2V9Cyd6pCaERkKlfj,2015-06-09,Michael Giacchino,orchestral soundtrack,29,0.147,0.0191,9,-23.132,1,0.0388,0.88,0.898,0.115,0.0323,102.365,284532,4
Fits and Jumpstarts,Jurassic World (Original Motion Picture Soundtrack),https://open.spotify.com/track/5c73dzWZz2GVuTnC887dZI,2015-06-09,Michael Giacchino,orchestral soundtrack,26,0.363,0.132,5,-20.869,1,0.0401,0.918,0.763,0.0966,0.0394,92.222,91799,4
