name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Look Down,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/3bRHPkiV43QCgzAJ5IuV65,2013-01-01,Hugh Jackman,hollywood,45,0.406,0.367,0,-12.006,0,0.151,0.903,0.0,0.128,0.333,76.019,196680,4
The Bishop,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/4o4MIPR7Ognceg3e6DsjGD,2013-01-01,Colm Wilkinson,west end,41,0.448,0.129,9,-20.363,0,0.114,0.758,0.0,0.441,0.413,125.102,94893,5
Valjean's Soliloquy,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/0kGWR2TUDw8AIHgmFwjk1V,2013-01-01,Hugh Jackman,hollywood,41,0.425,0.278,8,-14.544,1,0.0872,0.803,0.0,0.243,0.239,142.907,198707,4
At The End Of The Day,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/1VUChQjlhCIDGF724QpKb9,2013-01-01,Hugh Jackman,hollywood,45,0.501,0.394,5,-12.519,0,0.389,0.822,0.0,0.673,0.565,120.886,266773,4
The Docks (Lovely Ladies),Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/3tzEvrv2NNt4e9hKTPuvji,2013-01-01,Anne Hathaway,hollywood,41,0.651,0.127,0,-16.371,1,0.362,0.867,0.0,0.0775,0.386,77.992,243853,4
"I Dreamed A Dream - From ""Les Misérables""",Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/7CNVenAoty0IomwFPaMaaH,2013-01-01,Anne Hathaway,hollywood,51,0.256,0.0739,3,-17.227,1,0.0471,0.937,1.93E-05,0.0907,0.146,87.502,277533,4
Fantine’s Arrest,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/6Wu4zbiQH6eWUti4NgdjBR,2013-01-01,Anne Hathaway,hollywood,39,0.38,0.0997,5,-15.702,1,0.0679,0.892,0.0,0.421,0.215,87.943,119947,4
"Who Am I? - From ""Les Miserables''",Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/0BeS5hJXm3yzubCswEC8TQ,2013-01-01,Hugh Jackman,hollywood,42,0.338,0.304,8,-13.178,1,0.0914,0.796,0.0,0.182,0.164,86.288,157453,1
Fantine’s Death,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/47JhUpExCronIR7puEZJLh,2013-01-01,Anne Hathaway,hollywood,38,0.401,0.0241,5,-23.81,1,0.046,0.934,9.63E-06,0.111,0.149,129.136,172013,5
The Confrontation,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/31dATgmleDm4vrtFKkRhEd,2013-01-01,Hugh Jackman,hollywood,42,0.461,0.532,5,-10.929,0,0.156,0.755,0.0,0.22,0.396,85.544,114987,4
Castle On A Cloud,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/5PG1OBetpMvXc1yN0P7b7L,2013-01-01,Isabelle Allen,unknown,45,0.368,0.0605,9,-22.662,0,0.0457,0.893,0.0,0.269,0.437,81.685,71600,3
Master Of The House,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/3WoatVXvmr0qK7xVcVIyPi,2013-01-01,Sacha Baron Cohen,hollywood,43,0.453,0.242,2,-13.384,1,0.243,0.843,0.0,0.723,0.574,166.951,288520,4
The Bargain,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/7paDp4bj7qQU7Vtcg1bFPk,2013-01-01,Isabelle Allen,unknown,37,0.397,0.19,11,-18.898,1,0.243,0.808,0.0,0.0598,0.238,81.367,204827,5
Suddenly,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/7yXL9VSv7OTTLl3Bv6cA5C,2013-01-01,Hugh Jackman,hollywood,38,0.31,0.123,7,-21.978,1,0.169,0.915,3.5E-06,0.112,0.154,79.687,152467,4
The Convent,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/28kol7eppArFKGKaG8Qy60,2013-01-01,Hugh Jackman,hollywood,36,0.239,0.0368,11,-21.95,0,0.0434,0.973,0.0,0.0943,0.0396,77.027,52853,4
Stars,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/4cLsM2rpxuniX1GkXdQjeC,2013-01-01,Russell Crowe,hollywood,45,0.32,0.119,1,-15.869,1,0.0333,0.949,1.25E-05,0.474,0.204,97.974,165640,3
Paris / Look Down,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/5TlJb8F483IO1Rnzk4NsOz,2013-01-01,Daniel Huttlestone,hollywood,41,0.484,0.539,5,-9.372,0,0.0625,0.655,0.0,0.88,0.607,84.976,193573,4
The Robbery,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/4HAyg5Q6Ur78HyuJIz6o38,2013-01-01,Sasha Baron Cohen,unknown,37,0.495,0.262,3,-13.843,1,0.211,0.827,0.0,0.214,0.5,174.272,171707,3
ABC Café / Red & Black,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/0RmH0VjGdppj6vccWhs3x4,2013-01-01,Eddie Redmayne,hollywood,44,0.471,0.207,11,-13.488,1,0.0497,0.902,0.0,0.276,0.355,84.972,261120,4
In My Life,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/36vPj8etuV0nTqjpvpp2CA,2013-01-01,Amanda Seyfried,hollywood,42,0.397,0.091,2,-18.513,1,0.108,0.935,0.0,0.0881,0.207,75.556,256773,3
A Heart Full Of Love,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/2AuGrWzTXX61Mq8rfT98jQ,2013-01-01,Eddie Redmayne,hollywood,43,0.356,0.1,10,-19.435,1,0.0378,0.975,0.000153,0.103,0.256,82.172,121080,4
On My Own,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/3Mr6ofzF6ZuYiqHh8qNud3,2013-01-01,Samantha Barks,broadway,52,0.338,0.119,0,-15.714,1,0.0632,0.883,0.0,0.148,0.205,71.842,191067,5
One Day More,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/6ophEFs89SOktBpFnRM8BK,2013-01-01,Les Misérables Cast,hollywood,52,0.264,0.265,11,-11.901,0,0.033,0.832,0.0,0.0738,0.307,86.193,221933,4
Do You Hear The People Sing?,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/0g8H61FNXHHhMVHB0jwdzH,2013-01-01,Aaron Tveit,broadway,51,0.328,0.384,0,-10.323,1,0.0379,0.886,0.0,0.143,0.504,76.744,123160,4
Building The Barricade,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/2srOyvH3BOa4KpjxugXJCy,2013-01-01,Aaron Tveit,broadway,38,0.351,0.711,6,-7.465,1,0.0774,0.679,0.000103,0.434,0.565,55.95,103600,4
Javert At The Barricade,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/5vGS7VK20DyQ7n4e1TWkrK,2013-01-01,Russell Crowe,hollywood,37,0.566,0.294,4,-14.327,0,0.887,0.717,0.0,0.303,0.786,138.411,105040,4
The First Attack,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/03i2w6Sl4oRhapIlFCPHyd,2013-01-01,Eddie Redmayne,hollywood,35,0.358,0.312,7,-12.135,1,0.122,0.541,0.000822,0.39,0.197,118.074,81040,4
Little Fall Of Rain,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/0hIy3U1BoNA28NRBzU6ECp,2013-01-01,Eddie Redmayne,hollywood,40,0.452,0.016,6,-28.065,1,0.0921,0.942,0.0,0.099,0.144,80.391,152000,3
Drink With Me,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/0Xg3ImLtrcuVDhCsEgj4lM,2013-01-01,Aaron Tveit,broadway,40,0.395,0.0395,5,-21.729,1,0.0448,0.912,0.0,0.083,0.269,96.563,102067,4
Bring Him Home,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/5hzjEYR3PxrxhG7ZXVoM6U,2013-01-01,Hugh Jackman,hollywood,38,0.199,0.17,9,-16.443,1,0.0363,0.915,4.48E-06,0.361,0.0958,156.558,217760,3
The Death Of Gavroche,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/1wMdRZT8YiWbRWhWhIEgN5,2013-01-01,Aaron Tveit,broadway,36,0.508,0.206,5,-17.984,0,0.664,0.745,0.0,0.818,0.115,76.657,165453,4
The Final Battle,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/4tO0enUe9YuNvufZN3GKVC,2013-01-01,Aaron Tveit,broadway,34,0.213,0.634,9,-8.466,1,0.0786,0.313,0.519,0.247,0.066,105.45,186867,4
The Sewers,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/6SngsfIn681pAmXb3v7B70,2013-01-01,Sasha Baron Cohen,unknown,33,0.343,0.279,8,-11.877,1,0.037,0.536,0.000341,0.185,0.152,93.834,143253,4
Javert's Suicide,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/01O2sFXHb72XiXRyOFlkI7,2013-01-01,Russell Crowe,hollywood,39,0.416,0.337,2,-14.42,0,0.094,0.706,0.0,0.371,0.248,107.915,175493,3
Turning,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/0dQccSGzAaoL6OYvXbWMcQ,2013-01-01,Les Misérables Cast,hollywood,34,0.545,0.0915,8,-22.505,1,0.0874,0.962,0.000777,0.125,0.551,100.825,38467,4
Empty Chairs At Empty Tables,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/29bONW7GKEq7ZDBqiQC2PV,2013-01-01,Eddie Redmayne,hollywood,46,0.386,0.0688,6,-17.977,1,0.0496,0.944,1.22E-05,0.101,0.115,114.547,191213,3
A Heart Full Of Love - Reprise,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/4LJJ8dJaSCwcSszWay9SFz,2013-01-01,Amanda Seyfried,hollywood,37,0.353,0.0692,1,-21.416,0,0.0419,0.98,0.0,0.153,0.292,127.42,90027,1
Valjean’s Confession,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/3Y3rrP26asuQyu0GhjlSsy,2013-01-01,Hugh Jackman,hollywood,34,0.416,0.108,1,-20.529,1,0.0711,0.865,0.0,0.338,0.184,131.528,137000,4
Suddenly - Reprise,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/5T4Dl966shSjGuY5zbiZJT,2013-01-01,Eddie Redmayne,hollywood,35,0.342,0.0368,3,-23.532,1,0.0421,0.9,3.14E-05,0.3,0.232,142.505,54000,1
The Wedding,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/4PXVeKsmum88EGsh52pk4g,2013-01-01,Sasha Baron Cohen,unknown,34,0.392,0.223,4,-12.958,0,0.125,0.676,0.0,0.661,0.13,89.561,122373,3
Beggars At The Feast,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),https://open.spotify.com/track/1SjbEXcbrNV1Ms21dnoJku,2013-01-01,Sasha Baron Cohen,unknown,7,0.485,0.675,11,-7.774,0,0.089,0.746,0.0,0.148,0.695,86.212,29067,4
