name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Prologue,Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/6W3i6nM1cPjVluKTmjcCbM,1988-01-01,Gary Beach,unknown,24,0.389,0.273,0,-13.406,1,0.104,0.811,1.09E-06,0.127,0.235,81.94,606387,4
Valjean's Soliloquy (What Have I Done?),Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/2c9YWXHK2SOcm2kcatiZlg,1988-01-01,Gary Morris,classic country pop,23,0.432,0.306,10,-13.545,1,0.067,0.828,0.0,0.381,0.209,78.963,202347,3
At The End Of The Day,Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/6NIHSpVTVNObnCq7q8X7tM,1988-01-01,Tim Bowman,smooth jazz,24,0.559,0.403,5,-14.508,0,0.216,0.744,1.24E-06,0.087,0.553,65.6,308627,4
I Dreamed A Dream,Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/68vuybvlOET8xhWZ4Q6Zmq,1988-01-01,Debbie Byrne,unknown,25,0.175,0.124,3,-17.728,1,0.0386,0.962,0.00104,0.0967,0.0483,80.981,254720,1
Lovely Ladies,Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/0eCxvvcJUgMmFOEv0tphgh,1988-01-01,Gary Beach,unknown,21,0.608,0.21,5,-15.12,1,0.331,0.892,0.0,0.476,0.29,82.636,231947,4
Fantine's Arrest,Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/50wMTYlqY5uuSMw0Tk3Ai1,1988-01-01,Martin Smith,unknown,21,0.436,0.247,7,-15.653,1,0.347,0.828,0.0,0.809,0.361,72.615,264520,5
The Runaway Cart,Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/32q1tkRTpznfkpZdoYyGfl,1988-01-01,Gary Morris,classic country pop,21,0.469,0.23,0,-15.982,1,0.201,0.837,9.39E-06,0.343,0.142,74.159,218187,4
Who Am I? / The Trial,Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/0dIT4gl7HKZU3rY2iCvwme,1988-01-01,Gary Morris,classic country pop,23,0.38,0.134,11,-13.93,1,0.052,0.918,0.000135,0.214,0.0856,147.58,207787,5
Fantine's Death,Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/6yQkDiollTDqhzh9dQchTL,1988-01-01,Debbie Byrne,unknown,21,0.276,0.058,5,-22.432,1,0.0465,0.934,0.000323,0.0685,0.0752,82.926,224893,4
The Confrontation,Les Misérables (The Complete Symphonic Recording),https://open.spotify.com/track/6C3ViDB80dd68cWHADAY7z,1988-01-01,Philip Quast,unknown,25,0.464,0.396,5,-14.057,1,0.0695,0.763,0.0,0.216,0.337,88.062,146347,4
