name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
A Storm Is Coming,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/0wicJTv0Jv3xLp37FLb8Eh,2003-11-24,Howard Shore,canadian classical,45,0.117,0.139,2,-21.275,1,0.039,0.82,0.914,0.114,0.0605,72.277,172333,4
Hope and Memory,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/3qaPwSJau5W7KiObZmeJCb,2003-11-24,Howard Shore,canadian classical,44,0.199,0.0586,2,-20.599,0,0.0384,0.878,0.962,0.0973,0.151,69.165,105560,5
Minas Tirith (feat. Ben Del Maestro),The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/75UQxtu6gUPT5DdipRTM2s,2003-11-24,Howard Shore,canadian classical,44,0.171,0.38,10,-16.502,1,0.0385,0.794,0.919,0.0758,0.181,70.458,217267,4
The White Tree,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/5qgHL3PBLbTBPPSM8dBE62,2003-11-24,Howard Shore,canadian classical,44,0.0699,0.306,4,-15.153,0,0.0346,0.734,0.82,0.064,0.0596,72.355,205400,4
The Steward of Gondor (feat. Billy Boyd),The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/227hmntzKpN4CsYt3RVKcC,2003-11-24,Howard Shore,canadian classical,46,0.149,0.133,4,-24.015,0,0.0365,0.945,0.347,0.101,0.0821,83.928,233307,3
Minas Morgul,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/0yaqMD9NrsqIHEPntfXd0z,2003-11-24,Howard Shore,canadian classical,40,0.115,0.274,4,-17.094,0,0.0383,0.363,0.859,0.376,0.138,168.459,118000,4
The Ride of the Rohirrim,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/2l0xjJ6Fj72Bw4ReAJBrAo,2003-11-24,Howard Shore,canadian classical,50,0.218,0.207,7,-17.539,1,0.035,0.89,0.918,0.0891,0.155,132.606,128693,4
Twilight and Shadow (feat. Renee Fleming),The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/1eWsXHpKj3BhE9Uw9Q5XKI,2003-11-24,Howard Shore,canadian classical,54,0.0693,0.0663,4,-21.996,0,0.0439,0.97,0.948,0.102,0.0383,74.251,210373,3
Cirith Ungol,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/3Hj4i36KXDlfG6sHsPpuSO,2003-11-24,Howard Shore,canadian classical,36,0.14,0.0521,0,-27.357,1,0.0381,0.888,0.979,0.12,0.0388,75.979,104293,4
Anduril,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/6GO5qVDkPvw2vr07pQChmZ,2003-11-24,Howard Shore,canadian classical,45,0.0607,0.261,9,-17.513,0,0.0422,0.922,0.941,0.669,0.0315,43.741,155467,4
Shelob's Lair,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/2JzuB2RsCTditjUfWfECI0,2003-11-24,Howard Shore,canadian classical,41,0.12,0.387,10,-15.298,1,0.0393,0.678,0.916,0.107,0.043,90.09,247067,4
Ash and Smoke,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/3nEBWfZFqzccZscKZ19riW,2003-11-24,Howard Shore,canadian classical,36,0.161,0.516,8,-14.734,1,0.0741,0.403,0.917,0.164,0.0636,143.967,205000,4
The Fields of the Pelenor,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/0EkzFsziWwiMmk7sf9eKb7,2003-11-24,Howard Shore,canadian classical,40,0.0875,0.401,2,-15.308,1,0.0416,0.335,0.839,0.089,0.0384,167.103,206000,4
Hope Fails,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/04kyaVMvZfQcF4FlGPBJWt,2003-11-24,Howard Shore,canadian classical,35,0.0582,0.0471,0,-24.039,1,0.0432,0.397,0.907,0.165,0.04,57.89,140933,5
The Black Gate Opens (feat. Sir James Galway),The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/2OcUSuvHINLaIaXXA3tN8M,2003-11-24,Howard Shore,canadian classical,42,0.142,0.213,4,-19.131,0,0.0372,0.605,0.901,0.125,0.039,147.864,241640,4
The End of All Things (feat. Renee Fleming),The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),https://open.spotify.com/track/4Tcr45Q15hwPGrLBp632Ks,2003-11-24,Howard Shore,canadian classical,41,0.0652,0.217,9,-15.872,0,0.0393,0.896,0.822,0.244,0.0377,72.212,312800,4
