name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Boulevard of Broken Dreams,Boulevard of Broken Dreams,https://open.spotify.com/track/1hwJKpe0BPUsq6UUrwBWTw,2004,Green Day,modern rock,77,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,261267,4
American Pie,American Pie,https://open.spotify.com/track/1fDsrQ23eTAVFElUMaf38X,1971,Don McLean,classic rock,79,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,516893,4
Hallelujah,A Pentatonix Christmas Deluxe,https://open.spotify.com/track/0HZk0QsXPhMNAWNDR3rYE8,2017-12-06,Pentatonix,a cappella,71,0.364,0.378,7,-7.381,0,0.0331,0.47,0.0,0.339,0.366,89.918,268960,3
Let Her Go,All the Little Lights,https://open.spotify.com/track/6GmUVqe73u5YRfUUynZK6I,2012-06-29,Passenger,folk-pop,0,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,252733,4
A Man Without Love,A Man Without Love,https://open.spotify.com/track/0oUBuOO4g9P4lREqfqR5nq,1968-08-03,Engelbert Humperdinck,adult standards,72,0.538,0.467,2,-9.589,1,0.0327,0.637,0.0,0.115,0.507,111.766,203133,4
a thousand years,A Thousand Years,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl,2011-10-18,Christina Perri,pop,85,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120,3
Flares,No Sound Without Silence,https://open.spotify.com/track/3mTEYjm3kIm4YzJ5zxJZjs,2014-09-15,The Script,celtic rock,58,0.348,0.351,0,-9.883,0,0.0344,0.408,0.0,0.055,0.0661,164.054,229320,4
Lemon Tree,Dish Of The Day,https://open.spotify.com/track/4fXGWiVhlOLdhwRDP6pIFG,1995-01-01,Fools Garden,german pop rock,3,0.663,0.475,1,-8.834,1,0.0417,0.643,0.0,0.122,0.644,143.175,191027,4
Sweet Caroline,Sweet Caroline,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV,1969-06-06,Neil Diamond,adult standards,80,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,203573,4
Royals,Pure Heroine,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,2013-09-27,Lorde,art pop,83,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,190185,4
We Built This City,Knee Deep In The Hoopla,https://open.spotify.com/track/6OnfBiiSc9RGKiBKKtZXgQ,1985-09-10,Starship,album rock,79,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,296080,4
Sanctuary,Nectar,https://open.spotify.com/track/5F1ZmucV0uJY14y2dYKePa,2020-09-24,Joji,viral pop,68,0.552,0.638,1,-7.474,1,0.11,0.387,0.00014,0.374,0.332,167.834,180019,4
September,"The Best Of Earth, Wind & Fire Vol. 1",https://open.spotify.com/track/2grjqo0Frpf2okIBiifQKs,1978-11-23,"Earth, Wind & Fire",disco,77,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,4
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,1969-09-26,The Beatles,british invasion,87,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,4
Happy Together,Happy Together,https://open.spotify.com/track/1JO1xLtVc8mWhIoE3YaCL0,1967,The Turtles,bubblegum pop,79,0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,176293,4
Starman - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),https://open.spotify.com/track/0pQskrTITgmCMyr85tb9qq,1972-06-06,David Bowie,art rock,81,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,254293,4
Sir Duke,Songs In The Key Of Life,https://open.spotify.com/track/4pNiE4LCVV74vfIBaUHm1b,1976-09-28,Stevie Wonder,motown,74,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,232760,4
Just the Two of Us (feat. Bill Withers) - Edit,Lean on Me: The Best of Bill Withers,https://open.spotify.com/track/2tH28YyKYOldxhuBHoI79M,1994-08-09,"Grover Washington, Jr.",soul jazz,69,0.793,0.386,10,-13.413,0,0.0819,0.597,0.31,0.0775,0.584,95.819,237373,4
Wouldn't It Be Nice,Pet Sounds (Original Mono & Stereo Mix),https://open.spotify.com/track/2Gy7qnDwt8Z3MNxqat4CsK,1966-06-16,The Beach Boys,baroque pop,69,0.392,0.629,5,-7.056,1,0.0335,0.718,3.76e-06,0.129,0.72,124.511,153205,4
Pumped Up Kicks,Torches,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,2011-05-23,Foster The People,indietronica,86,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
Stolen Dance,Sadnecessary (Bonus Track Version),https://open.spotify.com/track/0ZfByLXCeKchuj7zi1CJ0S,2014-10-14,Milky Chance,german pop,78,0.879,0.565,11,-8.809,1,0.037,0.412,0.000239,0.0798,0.685,114.009,313627,4
Goodbye Yellow Brick Road - Remastered 2014,Goodbye Yellow Brick Road (Remastered),https://open.spotify.com/track/4IRHwIZHzlHT1FQpRa5RdE,1973-10-05,Elton John,glam rock,81,0.559,0.473,5,-7.712,1,0.0279,0.446,0.00141,0.154,0.397,121.227,192827,4
