name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Welcome to the Renaissance,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/6AYIRSW7X4we72aMolVtaE,2015-06-02,Michael James Scott,broadway,44,0.539,0.594,0,-7.218,1,0.359,0.491,0,0.0891,0.578,131.439,285773,4
"God, I Hate Shakespeare",Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/4wCot8w7pamCw8PQOvOgda,2015-06-02,Brian D'Arcy James,broadway,49,0.639,0.655,1,-7.143,0,0.386,0.649,0,0.151,0.698,153.592,164067,4
Right Hand Man,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/2dx8PRHg15eX3jvgksAhmb,2015-06-02,Heidi Blickenstaff,broadway,50,0.64,0.434,1,-7.953,1,0.0909,0.837,0,0.0799,0.834,146.954,163720,4
"God, I Hate Shakespeare - Reprise",Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/3vsjrdKa9yVLvL3A6rmxgA,2015-06-02,Brian D'Arcy James,broadway,38,0.34,0.245,5,-13.613,1,0.0526,0.678,0,0.119,0.201,170.833,90347,1
A Musical,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/6qkPk5xE1H94fFYfgRcDBt,2015-06-02,Brad Oscar,unknown,46,0.585,0.534,10,-8.092,1,0.422,0.531,0,0.102,0.518,129.275,467907,4
The Black Death,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/3oCkNBx50nqgWcyHaNHZCS,2015-06-02,'Something Rotten' Ensemble,broadway,40,0.725,0.757,4,-8.963,1,0.341,0.525,0,0.105,0.674,140.385,75693,4
I Love the Way,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/2SvBLZY02GztnoG0nklFzM,2015-06-02,Kate Reinders,movie tunes,40,0.36,0.318,7,-8.47,1,0.0349,0.821,0,0.11,0.304,63.371,169293,3
Will Power,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/6RHpM6Lqb2vTXqF1jxTKJa,2015-06-02,Christian Borle,broadway,43,0.434,0.81,1,-6.731,1,0.256,0.524,0,0.0636,0.518,133.019,299533,4
Bottom's Gonna Be on Top,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/22S2hCrmSajFuex8aknXTl,2015-06-02,Brian D'Arcy James,broadway,41,0.567,0.558,0,-8.629,1,0.849,0.624,0,0.0537,0.609,193.658,330347,4
Welcome to the Renaissance - Reprise,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/6QbY02s8ITM9tP0MJv5bxY,2015-06-02,Michael James Scott,broadway,35,0.727,0.506,0,-7.628,1,0.238,0.444,0,0.307,0.969,129.147,42387,4
Hard to Be the Bard,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/7MV1c2eclBShziAJRf3Q0Q,2015-06-02,Christian Borle,broadway,52,0.763,0.714,0,-6.513,1,0.334,0.464,0,0.293,0.697,110.195,238747,4
It's Eggs!,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/4KLxaf2bMiYoOCUftYmDyl,2015-06-02,Brian D'Arcy James,broadway,36,0.789,0.709,2,-8.525,1,0.236,0.609,0,0.0635,0.391,140.68,39960,4
We See the Light,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/3kBpDE6Th72cmKt7ZB5IqE,2015-06-02,Kate Reinders,movie tunes,39,0.687,0.7,5,-6.656,1,0.213,0.678,0,0.0673,0.626,107.807,245960,4
To Thine Own Self,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/0WIxVmvQzey9CvO3le2btz,2015-06-02,John Cariani,unknown,37,0.634,0.581,7,-7.803,0,0.479,0.611,0,0.349,0.78,128.984,238307,4
Right Hand Man - Reprise,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/3iJgK13NMLiCFeyZMzCUZ0,2015-06-02,Heidi Blickenstaff,broadway,35,0.437,0.153,1,-14.027,1,0.0439,0.924,0,0.119,0.207,68.042,81933,4
Something Rotten! / Make an Omelette,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/2vW4bO8Z4FfRKhibNPL3i1,2015-06-02,Brian D'Arcy James,broadway,37,0.511,0.686,2,-7.184,1,0.599,0.57,0,0.147,0.586,193.855,354493,4
To Thine Own Self - Reprise,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/1oRfkIfgLIEzwcktalp4Lm,2015-06-02,Brian D'Arcy James,broadway,34,0.309,0.219,4,-13.558,0,0.0314,0.907,0,0.117,0.221,135.462,110760,5
Finale,Something Rotten! (Original Broadway Cast Recording),https://open.spotify.com/track/4fOUFf83xePBruAIIAYAEY,2015-06-02,'Something Rotten' Company,unknown,35,0.584,0.705,0,-6.167,1,0.359,0.601,0,0.127,0.531,128.872,151787,4
