name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Greatest Show,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/4ylWMuGbMXNDgDd8lErEle,2017-12-08,Hugh Jackman,hollywood,75,0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,302147,4
A Million Dreams,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z,2017-12-08,Ziv Zaifman,show tunes,77,0.265,0.312,7,-11.689,1,0.0569,0.243,0.0,0.0893,0.0998,54.747,269453,3
A Million Dreams (Reprise),The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/66y7x28jXOPrcmu3D5Zjh6,2017-12-08,Austyn Johnson,show tunes,68,0.253,0.139,6,-17.067,1,0.0414,0.726,5.01e-05,0.269,0.102,74.369,60453,3
Come Alive,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/5xNUR50KxswPRAvx7S163g,2017-12-08,Hugh Jackman,hollywood,71,0.702,0.77,7,-9.411,1,0.128,0.00558,0.000802,0.211,0.235,118.034,225933,4
The Other Side,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr,2017-12-08,Hugh Jackman,hollywood,75,0.638,0.795,0,-8.45,1,0.302,0.00433,0.00139,0.153,0.31,153.99,214373,4
Never Enough,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J,2017-12-08,Loren Allred,deep talent show,77,0.277,0.394,8,-8.903,1,0.0336,0.423,0.0,0.0952,0.227,86.777,207787,3
This Is Me,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/45aBsnKRWUzhwbcqOJLwfe,2017-12-08,Keala Settle,broadway,76,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4
Rewrite The Stars,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/65fpYBrI8o2cfrwf2US4gq,2017-12-08,Zac Efron,hollywood,76,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,217440,4
Tightrope,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/0GVuLQtPXFaL18ijEOqoAa,2017-12-08,Michelle Williams,hollywood,71,0.351,0.331,9,-10.316,1,0.0382,0.3,9.14e-06,0.0919,0.191,161.564,234360,3
Never Enough (Reprise),The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/6f8b6mxNNDJdE5tC4MCTxt,2017-12-08,Loren Allred,deep talent show,67,0.382,0.0541,9,-19.376,1,0.03,0.889,2.88e-06,0.0832,0.133,82.486,80293,4
From Now On,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/3IkWmgGsXbsafrunwPojXO,2017-12-08,Hugh Jackman,hollywood,74,0.516,0.518,4,-10.383,1,0.04,0.00483,0.00895,0.585,0.0834,108.027,349560,4
